map_seed,repetition,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps
300000,0,8,1,1,0,1,0.9199999999999999,1.0108000000000001,2
300000,1,30,1,1,0,1,0.7,0.8844000000000001,12
300000,2,32,0,0,1,1,-0.3200000000000001,-0.12119999999999988,16
300000,3,32,0,0,1,1,-0.3200000000000001,-0.14279999999999993,14
300000,4,2,1,1,0,1,0.98,1.0612,0
300000,5,6,1,1,0,1,0.94,1.0272000000000001,2
300000,6,8,1,1,0,1,0.9199999999999999,1.0156,2
300000,7,2,1,1,0,1,0.98,1.0612,0
300000,8,26,1,1,0,1,0.74,0.9112000000000001,12
300000,9,17,1,1,0,1,0.83,0.9556,1
300000,10,12,1,1,0,1,0.88,0.9816,4
300000,11,21,1,1,0,1,0.7899999999999999,0.9252,7
300000,12,15,1,1,0,1,0.85,0.9756,5
300000,13,30,1,1,0,1,0.7,0.8520000000000001,6
300000,14,9,1,1,0,1,0.91,1.0164,3
300000,15,12,1,1,0,1,0.88,0.9996,4
300001,0,32,0,0,1,1,-0.3200000000000001,0.03200000000000011,22
300001,1,32,0,0,1,1,-0.3200000000000001,-0.044799999999999895,15
300001,2,10,1,1,0,1,0.9,1.096,6
300001,3,23,1,1,0,1,0.7699999999999999,0.9828000000000001,9
300001,4,29,1,1,0,1,0.71,0.9480000000000001,7
300001,5,22,1,1,0,1,0.7799999999999999,1.0096,6
300001,6,13,1,1,0,1,0.87,1.0624,3
300001,7,32,0,0,1,1,-0.3200000000000001,-0.04239999999999991,13
300001,8,7,1,1,0,1,0.9299999999999999,1.1092,3
300001,9,32,0,0,1,1,-0.3200000000000001,-0.057999999999999885,15
300001,10,13,1,1,0,1,0.87,1.0708,5
300001,11,32,0,0,1,1,-0.3200000000000001,-0.02199999999999991,13
300001,12,32,0,0,1,1,-0.3200000000000001,-0.0027999999999998304,20
300001,13,10,1,1,0,1,0.9,1.0948,4
300001,14,11,1,1,0,1,0.89,1.0908,7
300001,15,6,1,1,0,1,0.94,1.1108,0
300002,0,32,0,0,1,1,-0.3200000000000001,-0.09799999999999993,16
300002,1,15,1,1,0,1,0.85,1.0228000000000002,4
300002,2,32,0,0,1,1,-0.3200000000000001,-0.09319999999999996,8
300002,3,30,1,1,0,1,0.7,0.9028,7
300002,4,23,1,1,0,1,0.7699999999999999,0.9476,8
300002,5,29,1,1,0,1,0.71,0.9116000000000001,8
300002,6,18,1,1,0,1,0.82,0.9964000000000001,5
300002,7,12,1,1,0,1,0.88,1.0252000000000001,1
300002,8,32,0,0,1,1,-0.3200000000000001,-0.08479999999999992,9
300002,9,17,1,1,0,1,0.83,0.9992,6
300002,10,32,0,0,1,1,-0.3200000000000001,-0.10039999999999986,10
300002,11,9,1,1,0,1,0.91,1.0588,4
300002,12,6,1,1,0,1,0.94,1.0708,1
300002,13,32,0,0,1,1,-0.3200000000000001,-0.0883999999999999,8
300002,14,19,1,1,0,1,0.8099999999999999,0.9852000000000001,2
300002,15,27,1,1,0,1,0.73,0.9268000000000001,6
300003,0,32,0,0,1,1,-0.3200000000000001,0.17600000000000016,11
