condition,seed,checkpoint,updates_in_window,mean_loss,last_loss,training_examples
collected_unique,0,100,100,0.01344623471610248,0.020098982378840446,6400
collected_unique,0,200,100,0.00960810208460316,0.008727879263460636,12800
collected_unique,0,300,100,0.008227602019906044,0.006920092739164829,19200
collected_unique,0,400,100,0.007570246760733426,0.010375912301242352,25600
collected_unique,0,500,100,0.006625916480552405,0.005706466734409332,32000
collected_unique,0,600,100,0.005630797303747386,0.005742186214774847,38400
collected_unique,0,700,100,0.004809592388337478,0.003700029570609331,44800
collected_unique,0,800,100,0.004054378704167903,0.003509378992021084,51200
collected_unique,0,900,100,0.0037125430221203715,0.0037005585618317127,57600
collected_unique,0,1000,100,0.0036007365747354925,0.003243753919377923,64000
collected_unique,0,1100,100,0.003981329703237862,0.003919485490769148,70400
collected_unique,0,1200,100,0.00457243264419958,0.0045674992725253105,76800
collected_unique,0,1300,100,0.005059548066928983,0.004820974078029394,83200
collected_unique,0,1400,100,0.005055780292022974,0.004721515811979771,89600
collected_unique,0,1500,100,0.004871306440327317,0.003172525903210044,96000
collected_unique,0,1600,100,0.005074923180509359,0.00670684315264225,102400
collected_unique,0,1700,100,0.004475117882248014,0.0051576984114944935,108800
collected_unique,0,1800,100,0.004574950938113034,0.0024204545188695192,115200
collected_unique,0,1900,100,0.003977517060702667,0.004395003896206617,121600
collected_unique,0,2000,100,0.003149739356013015,0.0021162303164601326,128000
collected_unique,0,2100,100,0.0031023313745390624,0.001247308449819684,134400
collected_unique,0,2200,100,0.002999723721295595,0.003153393045067787,140800
collected_unique,0,2300,100,0.0024065108713693917,0.004166396800428629,147200
collected_unique,0,2400,100,0.002054633384104818,0.0017426093108952045,153600
collected_unique,0,2500,100,0.0018773892335593701,0.0021236944012343884,160000
collected_unique,0,2600,100,0.0017870189948007464,0.0016528201522305608,166400
collected_unique,0,2700,100,0.0019157713733147829,0.002524326555430889,172800
collected_unique,0,2800,100,0.0016736783384112641,0.001802627113647759,179200
collected_unique,0,2900,100,0.0015254792588530108,0.0014418085338547826,185600
collected_unique,0,3000,100,0.0016399694606661797,0.0018037550617009401,192000
collected_unique,0,3100,100,0.0016241954482393338,0.0012844079174101353,198400
collected_unique,0,3200,100,0.0015657720773015172,0.0010009657125920057,204800
collected_unique,0,3300,100,0.001611742158420384,0.0009212683071382344,211200
collected_unique,0,3400,100,0.0016137650213204325,0.0008517859387211502,217600
collected_unique,0,3500,100,0.001556615093140863,0.0015120443422347307,224000
collected_unique,0,3600,100,0.0017123350087786093,0.001703659538179636,230400
collected_unique,0,3700,100,0.001651940810843371,0.0012862862786278129,236800
collected_unique,0,3800,100,0.0016603111877338962,0.0014409387949854136,243200
collected_unique,0,3900,100,0.0016433298808988183,0.0009241958614438772,249600
collected_unique,0,4000,100,0.0016584237123606726,0.001466619549319148,256000
collected_unique,0,4100,100,0.001670431111124344,0.0017767773242667317,262400
collected_unique,0,4200,100,0.0016058286209590733,0.00115871278103441,268800
collected_unique,0,4300,100,0.0015934649016708135,0.002281203167513013,275200
collected_unique,0,4400,100,0.0017205614113481715,0.0024297989439219236,281600
collected_unique,0,4500,100,0.0018314507242757827,0.0012843167642131448,288000
collected_unique,0,4600,100,0.001694899071007967,0.0017509728204458952,294400
collected_unique,0,4700,100,0.001711666924529709,0.003006604267284274,300800
collected_unique,0,4800,100,0.0016819397744257004,0.00163867580704391,307200
collected_unique,0,4900,100,0.0018002223211806268,0.0017167292535305023,313600
collected_unique,0,5000,100,0.0017706260224804283,0.0012841372517868876,320000
collected_unique,0,5100,100,0.0015986926876939832,0.0015799177344888449,326400
collected_unique,0,5200,100,0.0016839568002615123,0.0014022933319211006,332800
collected_unique,0,5300,100,0.0016453631373587996,0.001660189009271562,339200
collected_unique,0,5400,100,0.001646022920613177,0.0017397261690348387,345600
collected_unique,0,5500,100,0.00151789307303261,0.001921062241308391,352000
collected_unique,0,5600,100,0.0017717878479743376,0.0013352425303310156,358400
collected_unique,0,5700,100,0.0016301136836409569,0.0013632645132020116,364800
collected_unique,0,5800,100,0.001530325417406857,0.0016110106371343136,371200
collected_unique,0,5900,100,0.0014732624002499505,0.00109658925794065,377600
collected_unique,0,6000,100,0.001459208913729526,0.0014840962830930948,384000
collected_unique,0,6100,100,0.001530097869108431,0.0030118506401777267,390400
collected_unique,0,6200,100,0.0014545276074204594,0.0010914774611592293,396800
collected_unique,0,6300,100,0.0015354315424337983,0.0031526205129921436,403200
collected_unique,0,6400,100,0.0016296610282734037,0.0014181900769472122,409600
collected_unique,0,6500,100,0.001558269273955375,0.001637365436181426,416000
collected_unique,0,6600,100,0.0015216514910571276,0.0011880362872034311,422400
collected_unique,0,6700,100,0.0015057390282163397,0.0017189602367579937,428800
collected_unique,0,6800,100,0.0016180369374342264,0.0012431509094312787,435200
collected_unique,0,6900,100,0.0015182718052528799,0.0012703596148639917,441600
collected_unique,0,7000,100,0.0015408579108770937,0.0013943352969363332,448000
collected_unique,0,7100,100,0.0015401876508258283,0.0013410355895757675,454400
collected_unique,0,7200,100,0.0015444546681828797,0.0009897546842694283,460800
collected_unique,0,7300,100,0.001528688400867395,0.0016387016512453556,467200
collected_unique,0,7400,100,0.0015445617865771056,0.001180295366793871,473600
collected_unique,0,7500,100,0.0015737123636063188,0.0010355024132877588,480000
collected_unique,0,7600,100,0.0015008132794173434,0.0014697533333674073,486400
collected_unique,0,7700,100,0.0014365662029013038,0.001047193305566907,492800
collected_unique,0,7800,100,0.0015649478911655024,0.0012808004394173622,499200
collected_unique,0,7900,100,0.0014271064981585368,0.00146058842074126,505600
collected_unique,0,8000,100,0.001499790269881487,0.0011112064821645617,512000
collected_unique,0,8100,100,0.0014364651136565953,0.0011204719776287675,518400
collected_unique,0,8200,100,0.001494690833496861,0.0018497805576771498,524800
collected_unique,0,8300,100,0.001566510400734842,0.0010425709187984467,531200
collected_unique,0,8400,100,0.001521330862888135,0.0009959600865840912,537600
collected_unique,0,8500,100,0.0014672422187868505,0.0012776090297847986,544000
collected_unique,0,8600,100,0.0014850900956662372,0.0012696891790255904,550400
collected_unique,0,8700,100,0.0015883324976311997,0.0021277624182403088,556800
collected_unique,0,8800,100,0.0015301998262293637,0.0029512725304812193,563200
collected_unique,0,8900,100,0.001533207804313861,0.002854118589311838,569600
collected_unique,0,9000,100,0.0013982236356241628,0.0009361122502014041,576000
collected_unique,0,9100,100,0.0014089682273333891,0.0019515936728566885,582400
collected_unique,0,9200,100,0.0014059914427343755,0.001432336401194334,588800
collected_unique,0,9300,100,0.0013766163063701241,0.00116161466576159,595200
collected_unique,0,9400,100,0.0013944798073498533,0.0012153662974014878,601600
collected_unique,0,9500,100,0.0014978071278892457,0.0014559985138475895,608000
collected_unique,0,9600,100,0.0014921782515011728,0.00224704178981483,614400
collected_unique,0,9700,100,0.0013811600039480255,0.0010300197172909975,620800
collected_unique,0,9800,100,0.0013876709021860734,0.001284291036427021,627200
collected_unique,0,9900,100,0.0014925199165008963,0.0012930501252412796,633600
collected_unique,0,10000,100,0.0015550334483850747,0.0011298786848783493,640000
collected_unique,0,10100,100,0.0013845529180252926,0.001294718123972416,646400
collected_unique,0,10200,100,0.0014844470523530618,0.0012150820111855865,652800
collected_unique,0,10300,100,0.0014784541947301477,0.0013462684582918882,659200
collected_unique,0,10400,100,0.001339201286318712,0.0013495096936821938,665600
collected_unique,0,10500,100,0.0014586216193856671,0.0012799121905118227,672000
collected_unique,0,10600,100,0.0014450374169973656,0.0015509759541600943,678400
collected_unique,0,10700,100,0.0014073794818250463,0.000872288306709379,684800
collected_unique,0,10800,100,0.0014136679517105222,0.0014903941191732883,691200
collected_unique,0,10900,100,0.0014294289267854764,0.0011397147318348289,697600
collected_unique,0,11000,100,0.0014101990981725977,0.0018698947969824076,704000
collected_unique,0,11100,100,0.0014679191372124478,0.0012865301687270403,710400
collected_unique,0,11200,100,0.0013850077969254926,0.0013302324805408716,716800
collected_unique,0,11300,100,0.0013867974851746112,0.0018192578572779894,723200
collected_unique,0,11400,100,0.001351108106900938,0.0014430577866733074,729600
collected_unique,0,11500,100,0.0014235576038481668,0.0018983555492013693,736000
collected_unique,0,11600,100,0.0014023442106554285,0.0018039436545222998,742400
collected_unique,0,11700,100,0.0015082759223878383,0.0011545773595571518,748800
collected_unique,0,11800,100,0.0013743066223105415,0.0013625344727188349,755200
collected_unique,0,11900,100,0.001547050122753717,0.0012470049550756812,761600
collected_unique,0,12000,100,0.001319262909819372,0.001915434142574668,768000
collected_unique,0,12100,100,0.0012956362671684473,0.0013423891505226493,774400
collected_unique,0,12200,100,0.0013325081544462592,0.0011718259193003178,780800
collected_unique,0,12300,100,0.0013468840380664914,0.0010784352198243141,787200
collected_unique,0,12400,100,0.0013384018564829602,0.001218387857079506,793600
collected_unique,0,12500,100,0.0014658551319735125,0.0012443775776773691,800000
collected_unique,0,12600,100,0.001502102635568008,0.001333799446001649,806400
collected_unique,0,12700,100,0.001464468383928761,0.0010299121495336294,812800
collected_unique,0,12800,100,0.001457897366490215,0.0015340461395680904,819200
collected_unique,0,12900,100,0.0013888118992326781,0.0009389928309246898,825600
collected_unique,0,13000,100,0.0013392743084114046,0.0016742248553782701,832000
collected_unique,0,13100,100,0.0013850137434201315,0.0013266587629914284,838400
collected_unique,0,13200,100,0.0014903123513795434,0.0019021821208298206,844800
collected_unique,0,13300,100,0.0015216237358981744,0.0021649838890880346,851200
collected_unique,0,13400,100,0.0015242594789015129,0.0011454420164227486,857600
collected_unique,0,13500,100,0.0014226032717851922,0.0016860621981322765,864000
collected_unique,0,13600,100,0.0014618833077838643,0.001651515020057559,870400
collected_unique,0,13700,100,0.0013958498724969104,0.0016372804529964924,876800
collected_unique,0,13800,100,0.0014316109678475185,0.0013345351908355951,883200
collected_unique,0,13900,100,0.0013358912157127633,0.0014859031653031707,889600
collected_unique,0,14000,100,0.0013854141748743131,0.0016411186661571264,896000
collected_unique,0,14100,100,0.001418125237687491,0.0011754840379580855,902400
collected_unique,0,14200,100,0.0013586108497111128,0.0014297342859208584,908800
collected_unique,0,14300,100,0.0012978758569806815,0.0008957903482951224,915200
collected_unique,0,14400,100,0.0013184269098564982,0.001058801426552236,921600
collected_unique,0,14500,100,0.0013258533168118447,0.0010744079481810331,928000
collected_unique,0,14600,100,0.00127417259325739,0.0011266283690929413,934400
collected_unique,0,14700,100,0.0013090035691857337,0.0010164028499275446,940800
collected_unique,0,14800,100,0.001370799345895648,0.0013527630362659693,947200
collected_unique,0,14900,100,0.0014351999579230324,0.0019032831769436598,953600
collected_unique,0,15000,100,0.0014843229739926755,0.0012672406155616045,960000
collected_unique,0,15100,100,0.0014771222666604444,0.0014172547962516546,966400
collected_unique,0,15200,100,0.0013340723264263943,0.0010403476189821959,972800
collected_unique,0,15300,100,0.001357784800347872,0.0012953018303960562,979200
collected_unique,0,15400,100,0.0013462485501077026,0.0013339065480977297,985600
collected_unique,0,15500,100,0.0012540389993228019,0.0010920510394498706,992000
collected_unique,0,15600,100,0.0013009288732428103,0.001517978496849537,998400
collected_unique,0,15700,100,0.0014001228439155966,0.0010868459939956665,1004800
collected_unique,0,15800,100,0.0013225698418682442,0.0017716612201184034,1011200
collected_unique,0,15900,100,0.001334956311620772,0.0016700136475265026,1017600
collected_unique,0,16000,100,0.0013538428471656517,0.001619981718249619,1024000
collected_unique,0,16100,100,0.0012792664702283218,0.0011060094693675637,1030400
collected_unique,0,16200,100,0.0013215313834371045,0.001172678079456091,1036800
collected_unique,0,16300,100,0.0012934828276047483,0.001385251758620143,1043200
collected_unique,0,16400,100,0.0012621096201473848,0.0008280811016447842,1049600
collected_unique,0,16500,100,0.001308211265131831,0.0009706686250865459,1056000
collected_unique,0,16600,100,0.0012647053907858209,0.001285930280573666,1062400
collected_unique,0,16700,100,0.0013076224894030019,0.0008408032590523362,1068800
collected_unique,0,16800,100,0.0013270502036903053,0.0011169540230184793,1075200
collected_unique,0,16900,100,0.0013073062640614808,0.0009810992050915956,1081600
collected_unique,0,17000,100,0.0013828168500913307,0.0009356474038213491,1088000
collected_unique,0,17100,100,0.0012967119680251926,0.0008682007319293916,1094400
collected_unique,0,17200,100,0.0013274300930788741,0.0010756683768704534,1100800
collected_unique,0,17300,100,0.001294992440380156,0.0012114117853343487,1107200
collected_unique,0,17400,100,0.0013804540992714465,0.00169549195561558,1113600
collected_unique,0,17500,100,0.0013809661113191396,0.002377978526055813,1120000
collected_unique,0,17600,100,0.0013194773253053427,0.0011944014113396406,1126400
collected_unique,0,17700,100,0.0014060921920463444,0.0017338839825242758,1132800
collected_unique,0,17800,100,0.0012710073293419554,0.0013230046024546027,1139200
collected_unique,0,17900,100,0.001219158675521612,0.0008549012709408998,1145600
collected_unique,0,18000,100,0.0012859592563472689,0.0009095306741073728,1152000
collected_unique,0,18100,100,0.0013083436770830303,0.0011196474079042673,1158400
collected_unique,0,18200,100,0.0013835092599038036,0.0010930970311164856,1164800
collected_unique,0,18300,100,0.001358132868190296,0.0010598641820251942,1171200
collected_unique,0,18400,100,0.0013675155863165855,0.0007955344626680017,1177600
collected_unique,0,18500,100,0.0012963591661537066,0.0009114581625908613,1184000
collected_unique,0,18600,100,0.0013112519826972858,0.0012461325386539102,1190400
collected_unique,0,18700,100,0.0013328291580546646,0.000852982746437192,1196800
