map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining,policy,q0,q1,q2,q3
300000,0,1,447,2,0.031200000000000006,414,0,0,32,random,,,,
300000,0,2,414,2,-0.0476,381,0,0,31,random,,,,
300000,0,3,381,0,0.031200000000000006,316,0,0,30,random,,,,
300000,0,4,316,2,-0.0476,283,0,0,29,random,,,,
300000,0,5,283,0,-0.04639999999999999,154,0,0,28,random,,,,
300000,0,6,154,1,0.03239999999999999,281,0,0,27,random,,,,
300000,0,7,281,0,-0.04639999999999999,152,0,0,26,random,,,,
300000,0,8,152,2,-0.006399999999999997,151,0,0,25,random,,,,
300000,0,9,151,3,-0.006399999999999997,150,0,0,24,random,,,,
300000,0,10,150,1,0.03239999999999999,277,0,0,23,random,,,,
300000,0,11,277,2,-0.007599999999999997,276,0,0,22,random,,,,
300000,0,12,276,3,0.031200000000000006,307,0,0,21,random,,,,
300000,0,13,307,2,-0.0476,274,0,0,20,random,,,,
300000,0,14,274,2,-0.007599999999999997,273,0,0,19,random,,,,
300000,0,15,273,0,-0.04639999999999999,144,0,0,18,random,,,,
300000,0,16,144,1,0.03239999999999999,271,0,0,17,random,,,,
300000,0,17,271,3,0.031200000000000006,302,0,0,16,random,,,,
300000,0,18,302,3,1.03,-1,1,0,15,random,,,,
300000,1,1,447,2,0.031200000000000006,414,0,0,32,random,,,,
300000,1,2,414,2,-0.0476,381,0,0,31,random,,,,
300000,1,3,381,1,-0.04639999999999999,540,0,0,30,random,,,,
300000,1,4,540,3,0.03239999999999999,571,0,0,29,random,,,,
300000,1,5,571,1,-0.007599999999999997,570,0,0,28,random,,,,
300000,1,6,570,1,-0.007599999999999997,569,0,0,27,random,,,,
300000,1,7,569,1,-0.007599999999999997,568,0,0,26,random,,,,
300000,1,8,568,3,-0.04639999999999999,599,0,0,25,random,,,,
300000,1,9,599,2,0.03239999999999999,566,0,0,24,random,,,,
300000,1,10,566,3,-0.04639999999999999,597,0,0,23,random,,,,
300000,1,11,597,0,0.03239999999999999,436,0,0,22,random,,,,
300000,1,12,436,2,0.031200000000000006,403,0,0,21,random,,,,
300000,1,13,403,2,-0.0476,370,0,0,20,random,,,,
300000,1,14,370,1,-0.04639999999999999,529,0,0,19,random,,,,
300000,1,15,529,0,0.03239999999999999,368,0,0,18,random,,,,
300000,1,16,368,3,0.031200000000000006,399,0,0,17,random,,,,
300000,1,17,399,0,1.03,-1,1,0,16,random,,,,
300000,2,1,447,0,0.031200000000000006,350,0,0,32,random,,,,
300000,2,2,350,2,1.03,-1,1,0,31,random,,,,
300000,3,1,447,3,-0.04639999999999999,478,0,0,32,random,,,,
300000,3,2,478,3,-0.006399999999999997,477,0,0,31,random,,,,
300000,3,3,477,2,0.03239999999999999,444,0,0,30,random,,,,
300000,3,4,444,1,-0.04639999999999999,603,0,0,29,random,,,,
300000,3,5,603,3,-0.04520000000000001,634,0,0,28,random,,,,
300000,3,6,634,1,-0.005199999999999995,633,0,0,27,random,,,,
