map_seed,repetition,policy,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps,trajectory_sha256
300073,9,guided,1,1,1,0,1,0.99,1.03,0,e6e57710b2ee2e77444e8cd5ad68342a5ecf48c07fb6ccf7d55542be91af9bf5
300073,10,guided,1,1,1,0,1,0.99,1.03,0,e6e57710b2ee2e77444e8cd5ad68342a5ecf48c07fb6ccf7d55542be91af9bf5
300073,11,guided,1,1,1,0,1,0.99,1.03,0,e6e57710b2ee2e77444e8cd5ad68342a5ecf48c07fb6ccf7d55542be91af9bf5
300073,12,guided,1,1,1,0,1,0.99,1.03,0,e6e57710b2ee2e77444e8cd5ad68342a5ecf48c07fb6ccf7d55542be91af9bf5
300073,13,guided,1,1,1,0,1,0.99,1.03,0,e6e57710b2ee2e77444e8cd5ad68342a5ecf48c07fb6ccf7d55542be91af9bf5
300073,14,guided,1,1,1,0,1,0.99,1.03,0,e6e57710b2ee2e77444e8cd5ad68342a5ecf48c07fb6ccf7d55542be91af9bf5
300073,15,guided,1,1,1,0,1,0.99,1.03,0,e6e57710b2ee2e77444e8cd5ad68342a5ecf48c07fb6ccf7d55542be91af9bf5
300074,0,random,19,1,1,0,1,0.8099999999999999,0.9584,1,d6c351f168687af27eeebfd10b4b967d110ef46aeea63bc70953de5a92cfa7ae
300074,1,random,32,0,0,1,1,-0.3200000000000001,-0.10439999999999998,6,90c31f506d98cf0e40dea3938825ec1073a06dd3eeed82d11720a0599f1bb1cc
300074,2,random,32,0,0,1,1,-0.3200000000000001,-0.07319999999999993,19,975985e9cb44eac220cf5c79b2c23b119cabfcbf93c1c2d7ec0bda3925910d5a
300074,3,random,32,0,0,1,1,-0.3200000000000001,-0.04559999999999978,9,9e75ecfc439ec6ad6b4cf59e3366d11f57237225f362c4c27b7c38bac6b28142
300074,4,random,32,0,0,1,1,-0.3200000000000001,-0.09479999999999994,11,43a4cb87d087eabc6c7e7040e35f1dda3dc9d55172bff2465e70cb1d14b3037a
300074,5,random,32,0,0,1,1,-0.3200000000000001,-0.08879999999999992,14,7585ad039f4595b3ed0c48b241c6568c557b25955b73bf10c16f55fed7a43073
300074,6,random,32,0,0,1,1,-0.3200000000000001,-0.12359999999999996,12,ae94acbd249f1eb485e5f86e38b194b8c7d58288c219c8e64cdc140392d8b244
300074,7,random,32,0,0,1,1,-0.3200000000000001,-0.03839999999999982,10,217b5e8eef325e26a28ac19950fbda17bc2ee8a8be67a31d6f2f3670c5aef6d8
300074,8,guided,2,1,1,0,1,0.98,1.0612,0,94e8f4aea1c5b646556b1e949c350ec5e91b8da02b16ffeed62606bcc6f50e02
300074,9,guided,2,1,1,0,1,0.98,1.0612,0,94e8f4aea1c5b646556b1e949c350ec5e91b8da02b16ffeed62606bcc6f50e02
300074,10,guided,2,1,1,0,1,0.98,1.0612,0,94e8f4aea1c5b646556b1e949c350ec5e91b8da02b16ffeed62606bcc6f50e02
300074,11,guided,2,1,1,0,1,0.98,1.0612,0,94e8f4aea1c5b646556b1e949c350ec5e91b8da02b16ffeed62606bcc6f50e02
300074,12,guided,2,1,1,0,1,0.98,1.0612,0,94e8f4aea1c5b646556b1e949c350ec5e91b8da02b16ffeed62606bcc6f50e02
300074,13,guided,2,1,1,0,1,0.98,1.0612,0,94e8f4aea1c5b646556b1e949c350ec5e91b8da02b16ffeed62606bcc6f50e02
300074,14,guided,2,1,1,0,1,0.98,1.0612,0,94e8f4aea1c5b646556b1e949c350ec5e91b8da02b16ffeed62606bcc6f50e02
300074,15,guided,2,1,1,0,1,0.98,1.0612,0,94e8f4aea1c5b646556b1e949c350ec5e91b8da02b16ffeed62606bcc6f50e02
300075,0,random,32,0,0,1,1,-0.3200000000000001,-0.1415999999999999,8,a7ff9450af8577a6bffa962e4d1d7745caa882f71052554212bb16b3ec6dd4b8
300075,1,random,6,1,1,0,1,0.94,1.0356,0,0bcf675920cc9832342e6aedde65bf62c13046db30c80621dbcf1cf3fee28659
300075,2,random,32,1,1,0,1,0.6799999999999999,0.8392000000000001,12,fbea8cb81c6a849126431edb80bec2f64b0d1ca30024504e0b90bd49fe57d75c
300075,3,random,26,1,1,0,1,0.74,0.8872,2,2ab4c9f9bbec3c9c5fe4b9cce19a7e62211c4dc249722cd231aa30cc7a2a0e7f
300075,4,random,11,1,1,0,1,0.89,0.9916,3,d77b12c6f7c012ac68eaac84cb981cb89d4542c86bd9b3e2b124f8a75b646599
300075,5,random,11,1,1,0,1,0.89,0.9964000000000001,3,93e7b0e27f04de13373b7b636ba247d52a07a0c0d6260c07a2d733f784d1778e
300075,6,random,9,1,1,0,1,0.91,1.0068000000000001,1,0720399da547c4f7d48cda483225e0d555d0cab7f9cb42848aa014880a92d983
300075,7,random,32,0,0,1,1,-0.3200000000000001,-0.15600000000000003,13,841d44a66b2a6d9d3b2e9f3a5307ed1a565cbba07a989d0b889c4e56a7667561
300075,8,guided,2,1,1,0,1,0.98,1.0612,0,0e1dba7f3ad11c8c05e2d627ebd513e0d88c7b304e8dfa0698b6f8ffedd6b7f8
300075,9,guided,2,1,1,0,1,0.98,1.0612,0,0e1dba7f3ad11c8c05e2d627ebd513e0d88c7b304e8dfa0698b6f8ffedd6b7f8
300075,10,guided,2,1,1,0,1,0.98,1.0612,0,0e1dba7f3ad11c8c05e2d627ebd513e0d88c7b304e8dfa0698b6f8ffedd6b7f8
300075,11,guided,2,1,1,0,1,0.98,1.0612,0,0e1dba7f3ad11c8c05e2d627ebd513e0d88c7b304e8dfa0698b6f8ffedd6b7f8
300075,12,guided,2,1,1,0,1,0.98,1.0612,0,0e1dba7f3ad11c8c05e2d627ebd513e0d88c7b304e8dfa0698b6f8ffedd6b7f8
300075,13,guided,2,1,1,0,1,0.98,1.0612,0,0e1dba7f3ad11c8c05e2d627ebd513e0d88c7b304e8dfa0698b6f8ffedd6b7f8
300075,14,guided,2,1,1,0,1,0.98,1.0612,0,0e1dba7f3ad11c8c05e2d627ebd513e0d88c7b304e8dfa0698b6f8ffedd6b7f8
300075,15,guided,2,1,1,0,1,0.98,1.0612,0,0e1dba7f3ad11c8c05e2d627ebd513e0d88c7b304e8dfa0698b6f8ffedd6b7f8
300076,0,random,4,1,1,0,1,0.96,1.086,1,00020088cdd598912383fe1be066b0c3a01a39ac728bcb636c99f4f6b21f285f
300076,1,random,15,1,1,0,1,0.85,1.0108000000000001,8,7b0fda6f7966da5a76e9ae58bb6ec74cf5d1eb337b3c72392f15d1d2f0b3316e
300076,2,random,5,1,1,0,1,0.95,1.0808,2,9654d06509752590fa398c9f3ed043bff2bf6c8d08eb94475f9e63dabe7a94d5
300076,3,random,32,0,0,1,1,-0.3200000000000001,-0.10519999999999995,17,6f3df5add0652034ed20bc12181547ed4e60eeea3c1fb7d6697f1f5cf92cf2b3
300076,4,random,13,1,1,0,1,0.87,1.0212,4,518f4472af27d9425c1934a5fc0d84b8bff312622e1aadc0c103024817e48bda
300076,5,random,14,1,1,0,1,0.86,1.0088000000000001,5,6b7fdf867e8d6ae1485a1ac4aad41c48a1ab3b24233e5cca06f988adf39125ce
