map_seed,repetition,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps
300000,0,18,1,1,0,1,0.82,0.9420000000000001,4
300000,1,17,1,1,0,1,0.83,0.9496,3
300000,2,2,1,1,0,1,0.98,1.0612,0
300000,3,27,1,1,0,1,0.73,0.8868,9
300000,4,32,0,0,1,1,-0.3200000000000001,-0.14999999999999997,9
300000,5,2,1,1,0,1,0.98,1.0612,0
300000,6,2,1,1,0,1,0.98,1.0612,0
300000,7,32,0,0,1,1,-0.3200000000000001,-0.1439999999999999,7
300000,8,2,1,1,0,1,0.98,1.0612,0
300000,9,32,0,0,1,1,-0.3200000000000001,-0.1247999999999998,13
300000,10,12,1,1,0,1,0.88,0.996,4
300000,11,32,0,0,1,1,-0.3200000000000001,-0.15839999999999999,14
300000,12,21,1,1,0,1,0.7899999999999999,0.9432000000000001,7
300000,13,32,0,0,1,1,-0.3200000000000001,-0.1343999999999999,11
300000,14,17,1,1,0,1,0.83,0.9556,3
300000,15,32,0,0,1,1,-0.3200000000000001,-0.1439999999999999,11
300001,0,32,0,0,1,1,-0.3200000000000001,0.0020000000000001406,12
300001,1,32,0,0,1,1,-0.3200000000000001,-0.01359999999999982,20
300001,2,5,1,1,0,1,0.95,1.1184,1
300001,3,20,1,1,0,1,0.7999999999999999,1.0332000000000001,10
300001,4,4,1,1,0,1,0.96,1.1272,0
300001,5,32,0,0,1,1,-0.3200000000000001,-0.0063999999999998225,20
300001,6,19,1,1,0,1,0.8099999999999999,1.0384,7
300001,7,32,0,0,1,1,-0.3200000000000001,-0.01719999999999991,17
300001,8,32,0,0,1,1,-0.3200000000000001,-0.0459999999999999,12
300001,9,32,0,0,1,1,-0.3200000000000001,-0.03399999999999986,14
300001,10,32,0,0,1,1,-0.3200000000000001,-0.04119999999999982,15
300001,11,7,1,1,0,1,0.9299999999999999,1.1056000000000001,1
300001,12,32,0,0,1,1,-0.3200000000000001,-0.07479999999999995,10
300001,13,19,1,1,0,1,0.8099999999999999,1.0288000000000002,3
300001,14,32,0,0,1,1,-0.3200000000000001,0.03560000000000016,22
300001,15,11,1,1,0,1,0.89,1.0884,3
300002,0,32,0,0,1,1,-0.3200000000000001,-0.10159999999999987,15
300002,1,32,0,0,1,1,-0.3200000000000001,-0.09199999999999985,14
300002,2,29,1,1,0,1,0.71,0.9116000000000001,10
300002,3,22,1,1,0,1,0.7799999999999999,0.9612,7
300002,4,9,1,1,0,1,0.91,1.0564,2
300002,5,32,0,0,1,1,-0.3200000000000001,-0.09799999999999995,10
300002,6,20,1,1,0,1,0.7999999999999999,0.9764,5
300002,7,32,0,0,1,1,-0.3200000000000001,-0.104,18
300002,8,32,0,0,1,1,-0.3200000000000001,-0.09319999999999988,12
300002,9,25,1,1,0,1,0.7499999999999999,0.9384,4
300002,10,25,1,1,0,1,0.7499999999999999,0.936,6
300002,11,21,1,1,0,1,0.7899999999999999,0.9712000000000001,6
300002,12,32,0,0,1,1,-0.3200000000000001,-0.07279999999999986,17
300002,13,32,0,0,1,1,-0.3200000000000001,-0.10759999999999997,6
300002,14,16,1,1,0,1,0.84,0.9948,3
300002,15,32,0,0,1,1,-0.3200000000000001,-0.08239999999999997,17
300003,0,32,0,0,1,1,-0.3200000000000001,0.19400000000000014,12
