condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
fixed_1,random_actions,2,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,3,1,15,0.85,0.9564,5,10,6,5,15,6,0,0.5066434600000009,0.0,0,,random_actions,random_actions:2:200000:3
fixed_1,random_actions,2,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,4,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,0.0,0,,random_actions,random_actions:2:200000:4
fixed_1,random_actions,2,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,5,1,14,0.86,0.976,4,10,6,5,14,6,0,0.4563673800000012,0.0,0,,random_actions,random_actions:2:200000:5
fixed_1,random_actions,2,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,6,1,5,0.95,1.0408,1,4,1,4,5,3,0,0.1132164600000003,0.0,0,,random_actions,random_actions:2:200000:6
fixed_1,random_actions,2,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,7,0,32,-0.3200000000000001,-0.1632,13,19,13,7,30,8,1,2.0976825700000026,0.0,0,,random_actions,random_actions:2:200000:7
fixed_1,shortest_path,0,0,1,reference,probe,200000,e1a8e0d23d370196c9a7c93300cd4f55761bfd904ec1e12087a7448293a6795c,0,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,0.0,0,,shortest_path,shortest_path:0:200000:0
fixed_1,random_actions,0,0,1,reference,heldout,920000,ceaea61c4ec50e720770ee1de791253b514c55e5c3937e49adaa65303a709b78,0,1,9,0.91,1.0092,3,6,0,7,9,4,0,0.26844346000000063,0.0,0,,random_actions,random_actions:0:920000:0
fixed_1,random_actions,0,0,1,reference,heldout,920000,ceaea61c4ec50e720770ee1de791253b514c55e5c3937e49adaa65303a709b78,1,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,0.0,0,,random_actions,random_actions:0:920000:1
fixed_1,random_actions,0,0,1,reference,heldout,920001,403ae7f81bd596df5971a89d5f9681b4e4c63ba8ae21056e5b047caff9265257,0,0,32,-0.3200000000000001,-0.04519999999999989,11,21,14,8,30,10,1,1.9845936173245813,0.0,0,,random_actions,random_actions:0:920001:0
fixed_1,random_actions,0,0,1,reference,heldout,920001,403ae7f81bd596df5971a89d5f9681b4e4c63ba8ae21056e5b047caff9265257,1,0,32,-0.3200000000000001,-0.09559999999999996,7,25,15,11,29,11,1,2.0123507724000023,0.0,0,,random_actions,random_actions:0:920001:1
fixed_1,random_actions,0,0,1,reference,heldout,920002,97606beadb5d41428e85a8c12827ac3a281b927f77400aaa6d4283e37a5ab414,0,0,32,-0.3200000000000001,0.08200000000000016,9,23,17,7,30,12,1,1.8704490216840306,0.0,0,,random_actions,random_actions:0:920002:0
fixed_1,random_actions,0,0,1,reference,heldout,920002,97606beadb5d41428e85a8c12827ac3a281b927f77400aaa6d4283e37a5ab414,1,0,32,-0.3200000000000001,0.10240000000000016,20,12,5,8,30,6,1,1.8520944881816384,0.0,0,,random_actions,random_actions:0:920002:1
fixed_1,random_actions,0,0,1,reference,heldout,920003,47789bbd4b9c8422e1330fa43d64fbf01c7942b809a27ade043c1a499092edc0,0,0,32,-0.3200000000000001,0.027600000000000097,6,26,17,10,28,11,1,1.8720427454255808,0.0,0,,random_actions,random_actions:0:920003:0
fixed_1,random_actions,0,0,1,reference,heldout,920003,47789bbd4b9c8422e1330fa43d64fbf01c7942b809a27ade043c1a499092edc0,1,0,32,-0.3200000000000001,0.07320000000000018,10,22,13,10,28,11,1,1.8282686521560745,0.0,0,,random_actions,random_actions:0:920003:1
fixed_1,random_actions,0,0,1,reference,heldout,920004,1d01947d4d34e11ccaaedcd5cf69ed19343487dd91382ee4d715a4439637fb70,0,0,32,-0.3200000000000001,0.0068000000000001115,19,13,10,4,28,6,1,1.8879304245410014,0.0,0,,random_actions,random_actions:0:920004:0
fixed_1,random_actions,0,0,1,reference,heldout,920004,1d01947d4d34e11ccaaedcd5cf69ed19343487dd91382ee4d715a4439637fb70,1,0,32,-0.3200000000000001,0.005600000000000188,21,11,9,3,30,5,1,1.9402093971980012,0.0,0,,random_actions,random_actions:0:920004:1
fixed_1,random_actions,0,0,1,reference,heldout,920005,133882542e33edec41fb6dc14b4b14895f4bc400d58a7850d1db75e0b3c6394e,0,1,5,0.95,1.0796000000000001,0,5,1,5,5,4,0,0.07586273000000021,0.0,0,,random_actions,random_actions:0:920005:0
fixed_1,random_actions,0,0,1,reference,heldout,920005,133882542e33edec41fb6dc14b4b14895f4bc400d58a7850d1db75e0b3c6394e,1,1,28,0.72,0.9372000000000001,9,19,12,8,28,11,0,0.9308647972000009,0.0,0,,random_actions,random_actions:0:920005:1
fixed_1,random_actions,0,0,1,reference,heldout,920006,bdd27283401ea3fba79cca06a6593fc81fda552224ffd93c86b658382d0bcc68,0,1,5,0.95,1.0784,2,3,0,4,5,3,0,0.07705373000000015,0.0,0,,random_actions,random_actions:0:920006:0
fixed_1,random_actions,0,0,1,reference,heldout,920006,bdd27283401ea3fba79cca06a6593fc81fda552224ffd93c86b658382d0bcc68,1,1,6,0.94,1.0696,3,3,0,4,6,3,0,0.11671800000000032,0.0,0,,random_actions,random_actions:0:920006:1
fixed_1,random_actions,0,0,1,reference,heldout,920007,db4beef059712c22fbab14aad4d0caae11134901d93351715b1eefc95763784e,0,1,7,0.9299999999999999,1.062,2,5,1,5,7,4,0,0.15522700000000034,0.0,0,,random_actions,random_actions:0:920007:0
fixed_1,random_actions,0,0,1,reference,heldout,920007,db4beef059712c22fbab14aad4d0caae11134901d93351715b1eefc95763784e,1,0,32,-0.3200000000000001,-0.10039999999999998,10,22,12,11,31,11,1,2.062850126700002,0.0,0,,random_actions,random_actions:0:920007:1
fixed_1,random_actions,0,0,1,reference,heldout,920008,52845914f9bbb8d51c3d7879d2c8a45f2f3ed0c3c6611388285532d967861a6e,0,1,5,0.95,0.9996,0,5,1,5,5,3,0,0.1540717300000003,0.0,0,,random_actions,random_actions:0:920008:0
fixed_1,random_actions,0,0,1,reference,heldout,920008,52845914f9bbb8d51c3d7879d2c8a45f2f3ed0c3c6611388285532d967861a6e,1,1,2,0.98,1.0212,1,1,0,2,2,1,0,0.03970000000000007,0.0,0,,random_actions,random_actions:0:920008:1
fixed_1,random_actions,0,0,1,reference,heldout,920009,1696c325e3c128d23d47df80f54af66c5a6551130920ce0e2dbaffeb9a80398d,0,1,27,0.73,0.9848000000000001,7,20,10,11,27,12,0,0.8551670387912916,0.0,0,,random_actions,random_actions:0:920009:0
fixed_1,random_actions,0,0,1,reference,heldout,920009,1696c325e3c128d23d47df80f54af66c5a6551130920ce0e2dbaffeb9a80398d,1,1,4,0.96,1.1272,0,4,0,5,4,4,0,0.0,0.0,0,,random_actions,random_actions:0:920009:1
fixed_1,random_actions,0,0,1,reference,heldout,920010,74f4211865d5beb9002404187f7527d2390646d53dc082ccd0d26ae2cb0513fb,0,0,32,-0.3200000000000001,-0.09559999999999991,9,23,16,8,29,11,1,2.006608008600002,0.0,0,,random_actions,random_actions:0:920010:0
fixed_1,random_actions,0,0,1,reference,heldout,920010,74f4211865d5beb9002404187f7527d2390646d53dc082ccd0d26ae2cb0513fb,1,1,18,0.82,1.0072,3,15,5,11,18,9,0,0.5517161187912911,0.0,0,,random_actions,random_actions:0:920010:1
fixed_1,random_actions,0,0,1,reference,heldout,920011,75d836dd73de74fa70b7b83707a3b15575af37f25fe3a158dc2c1892b42ae1a8,0,0,32,-0.3200000000000001,-0.16959999999999997,12,20,12,9,30,8,1,2.1074042115140026,0.0,0,,random_actions,random_actions:0:920011:0
fixed_1,random_actions,0,0,1,reference,heldout,920011,75d836dd73de74fa70b7b83707a3b15575af37f25fe3a158dc2c1892b42ae1a8,1,0,32,-0.3200000000000001,-0.196,16,16,11,6,30,7,1,2.129434312400002,0.0,0,,random_actions,random_actions:0:920011:1
fixed_1,random_actions,0,0,1,reference,heldout,920012,1a8d3e6be7e4ac51ee9a48126cbb37bf156c16b784df2e0336a8db38eab03bc4,0,1,11,0.89,0.9540000000000001,4,7,3,5,11,4,0,0.38516146000000084,0.0,0,,random_actions,random_actions:0:920012:0
fixed_1,random_actions,0,0,1,reference,heldout,920012,1a8d3e6be7e4ac51ee9a48126cbb37bf156c16b784df2e0336a8db38eab03bc4,1,0,32,-0.3200000000000001,-0.16719999999999985,14,18,10,9,29,7,1,2.0757481391000017,0.0,0,,random_actions,random_actions:0:920012:1
fixed_1,random_actions,0,0,1,reference,heldout,920013,f78c0805c561fa1565656c40ab7882779c07450122bd60271bb9ec50b5e18c09,0,1,7,0.9299999999999999,0.9844,2,5,2,4,7,3,0,0.23112546000000045,0.0,0,,random_actions,random_actions:0:920013:0
fixed_1,random_actions,0,0,1,reference,heldout,920013,f78c0805c561fa1565656c40ab7882779c07450122bd60271bb9ec50b5e18c09,1,1,4,0.96,1.0036,3,1,0,2,4,1,0,0.1191000000000002,0.0,0,,random_actions,random_actions:0:920013:1
fixed_1,random_actions,0,0,1,reference,heldout,920014,919413bc66f9e5ad02a5fc463d2a706cdd546f148833b0ae211902ff90a8e6e5,0,0,32,-0.3200000000000001,0.1060000000000001,6,26,22,5,28,11,1,1.8014290845994505,0.0,0,,random_actions,random_actions:0:920014:0
