policy_id,threshold,seed,shortfall_per_10k,post_shift_shortfall_per_10k,false_alarm,false_mitigation_ticks,missed_crisis,response_delay_ticks,mitigation_ticks,post_shift_ticks
unique,0.0,31004,63640.0,105890.18302828618,True,139,False,1,339,601
unique,0.0,31005,63270.0,105274.54242928453,True,139,False,1,339,601
unique,0.0,31006,63090.0,104975.04159733777,True,139,False,1,339,601
unique,0.0,31007,63850.0,106239.6006655574,True,139,False,1,339,601
unique,0.15,31000,44370.0,73826.95507487521,False,0,False,2,339,601
unique,0.15,31001,42840.0,71281.19800332778,False,0,False,4,339,601
unique,0.15,31002,43440.0,72279.53410981697,False,0,False,2,339,601
unique,0.15,31003,43630.00000000001,72595.67387687188,False,0,False,4,339,601
unique,0.15,31004,44450.0,73960.06655574043,False,0,False,2,339,601
unique,0.15,31005,43250.0,71963.39434276205,False,0,False,3,339,601
unique,0.15,31006,43390.00000000001,72196.3394342762,False,0,False,4,339,601
unique,0.15,31007,44029.99999999999,73261.231281198,False,0,False,2,339,601
unique,0.3,31000,43160.0,71813.64392678869,False,0,False,5,339,601
unique,0.3,31001,42000.0,69883.52745424293,False,0,False,7,339,601
unique,0.3,31002,42510.0,70732.11314475874,False,0,False,5,339,601
unique,0.3,31003,43160.0,71813.64392678869,False,0,False,7,339,601
unique,0.3,31004,44029.99999999999,73261.231281198,False,0,False,6,339,601
unique,0.3,31005,41860.0,69650.58236272879,False,0,False,9,339,601
unique,0.3,31006,42060.00000000001,69983.36106489184,False,0,False,8,339,601
unique,0.3,31007,42900.0,71381.03161397671,False,0,False,3,339,601
unique,0.45,31000,42240.0,70282.8618968386,False,0,False,9,339,601
unique,0.45,31001,40650.00000000001,67637.27121464227,False,0,False,10,339,601
unique,0.45,31002,41609.99999999999,69234.60898502496,False,0,False,7,339,601
unique,0.45,31003,41350.0,68801.99667221298,False,0,False,10,339,601
unique,0.45,31004,42699.99999999999,71048.25291181364,False,0,False,8,339,601
unique,0.45,31005,41320.0,68752.07986688853,False,0,False,11,339,601
unique,0.45,31006,41460.0,68985.02495840266,False,0,False,11,339,601
unique,0.45,31007,41470.0,69001.66389351082,False,0,False,5,339,601
unique,0.6,31000,40850.0,67970.04991680532,False,0,False,12,339,601
unique,0.6,31001,39190.0,65207.98668885192,False,0,False,15,339,601
unique,0.6,31002,39450.0,65640.5990016639,False,0,False,10,339,601
unique,0.6,31003,39390.0,65540.76539101498,False,0,False,13,339,601
unique,0.6,31004,40500.0,67387.68718801998,False,0,False,12,339,601
unique,0.6,31005,39880.0,66356.07321131448,False,0,False,13,339,601
unique,0.6,31006,40750.0,67803.6605657238,False,0,False,16,339,601
unique,0.6,31007,39960.0,66489.1846921797,False,0,False,9,339,601
unique,0.8,31000,38690.0,64376.039933444255,False,0,False,17,339,601
unique,0.8,31001,38060.0,63327.78702163061,False,0,False,18,339,601
unique,0.8,31002,38440.0,63960.06655574043,False,0,False,13,339,601
unique,0.8,31003,38340.0,63793.677204658896,False,0,False,19,339,601
unique,0.8,31004,39020.0,64925.12479201331,False,0,False,16,339,601
unique,0.8,31005,38230.0,63610.64891846922,False,0,False,17,339,601
unique,0.8,31006,38460.0,63993.34442595673,False,0,False,22,339,601
unique,0.8,31007,38650.0,64309.484193011645,False,0,False,13,339,601
unique,1.0,31000,37550.0,62479.201331114804,False,0,False,21,339,601
unique,1.0,31001,42770.0,71164.72545757072,False,0,False,24,312,601
unique,1.0,31002,37490.0,62379.36772046589,False,0,False,17,339,601
unique,1.0,31003,44840.0,74608.9850249584,False,0,False,22,300,601
unique,1.0,31004,37660.0,62662.22961730449,False,0,False,19,339,601
unique,1.0,31005,38250.0,63643.92678868552,False,0,False,21,331,601
unique,1.0,31006,41700.0,69384.35940099834,False,0,False,29,315,601
unique,1.0,31007,40599.99999999999,67554.0765391015,False,0,False,16,322,601
unique,1.3,31000,59189.99999999999,98485.85690515806,False,0,False,29,234,601
unique,1.3,31001,61470.0,102279.53410981697,False,0,False,29,216,601
unique,1.3,31002,62320.0,103693.84359400997,False,0,False,24,216,601
unique,1.3,31003,66480.0,110615.64059900168,False,0,False,29,197,601
unique,1.3,31004,60920.0,101364.39267886855,False,0,False,25,219,601
unique,1.3,31005,62380.00000000001,103793.6772046589,False,0,False,27,218,601
unique,1.3,31006,70100.0,116638.93510815308,False,0,False,51,180,601
unique,1.3,31007,67270.0,111930.11647254575,False,0,False,21,195,601
unique,1.7,31000,92680.0,154209.65058236272,False,0,False,72,85,601
unique,1.7,31001,94990.0,158053.24459234608,False,0,False,36,72,601
unique,1.7,31002,94190.0,156722.12978369385,False,0,False,35,78,601
unique,1.7,31003,96640.0,160798.66888519135,False,0,False,38,68,601
unique,1.7,31004,96760.0,160998.33610648918,False,0,False,33,65,601
unique,1.7,31005,93030.00000000001,154792.01331114807,False,0,False,94,85,601
unique,1.7,31006,96840.0,161131.4475873544,False,0,False,64,64,601
unique,1.7,31007,96359.99999999999,160332.77870216305,False,0,False,29,71,601
decay,0.0,31000,63930.0,106372.71214642264,True,139,False,1,339,601
decay,0.0,31001,43150.00000000001,71797.00499168053,False,0,False,1,339,601
decay,0.0,31002,46020.0,76572.37936772047,True,17,False,0,339,601
decay,0.0,31003,43810.0,72895.17470881864,False,0,False,2,339,601
decay,0.0,31004,63640.0,105890.18302828618,True,139,False,1,339,601
decay,0.0,31005,63270.0,105274.54242928453,True,139,False,1,339,601
decay,0.0,31006,63090.0,104975.04159733777,True,139,False,1,339,601
decay,0.0,31007,63850.0,106239.6006655574,True,139,False,1,339,601
decay,0.15,31000,63930.0,106372.71214642264,True,139,False,1,339,601
decay,0.15,31001,43120.0,71747.08818635606,False,0,False,2,339,601
decay,0.15,31002,45580.0,75840.26622296173,True,14,False,0,339,601
decay,0.15,31003,43720.0,72745.42429284526,False,0,False,3,339,601
decay,0.15,31004,63640.0,105890.18302828618,True,139,False,1,339,601
decay,0.15,31005,63270.0,105274.54242928453,True,139,False,1,339,601
decay,0.15,31006,63090.0,104975.04159733777,True,139,False,1,339,601
decay,0.15,31007,63850.0,106239.6006655574,True,139,False,1,339,601
decay,0.3,31000,62320.0,103693.84359400997,True,126,False,0,339,601
decay,0.3,31001,42660.0,70981.69717138103,False,0,False,5,339,601
decay,0.3,31002,43480.0,72346.08985024958,False,0,False,1,339,601
decay,0.3,31003,43540.0,72445.9234608985,False,0,False,5,339,601
decay,0.3,31004,63640.0,105890.18302828618,True,139,False,1,339,601
decay,0.3,31005,60359.99999999999,100432.61231281198,True,117,False,0,339,601
decay,0.3,31006,62670.0,104276.20632279535,True,135,False,0,339,601
decay,0.3,31007,63450.0,105574.04326123129,True,136,False,1,339,601
decay,0.45,31000,52020.0,86555.7404326123,True,58,False,2,339,601
decay,0.45,31001,41720.0,69417.63727121464,False,0,False,6,339,601
decay,0.45,31002,42580.0,70848.5856905158,False,0,False,2,339,601
decay,0.45,31003,43050.0,71630.615640599,False,0,False,6,339,601
decay,0.45,31004,58120.0,96705.49084858569,True,98,False,0,339,601
decay,0.45,31005,44970.0,74825.29118136439,True,20,False,0,339,601
decay,0.45,31006,42730.0,71098.16971713811,True,1,False,2,339,601
decay,0.45,31007,46710.0,77720.46589018303,True,26,False,3,339,601
decay,0.6,31000,41630.0,69267.88685524126,False,0,False,3,339,601
decay,0.6,31001,40290.0,67038.26955074875,False,0,False,7,339,601
decay,0.6,31002,41380.0,68851.91347753744,False,0,False,5,339,601
decay,0.6,31003,40980.0,68186.35607321131,False,0,False,7,339,601
decay,0.6,31004,42110.0,70066.55574043261,False,0,False,1,339,601
decay,0.6,31005,39940.0,66455.90682196339,False,0,False,5,339,601
decay,0.6,31006,40380.0,67188.01996672213,False,0,False,7,339,601
decay,0.6,31007,40599.99999999999,67554.0765391015,False,0,False,3,339,601
decay,0.8,31000,38250.0,63643.92678868552,False,0,False,9,339,601
decay,0.8,31001,36970.0,61514.14309484193,False,0,False,11,339,601
decay,0.8,31002,38140.0,63460.89850249584,False,0,False,7,339,601
decay,0.8,31003,37510.0,62412.645590682194,False,0,False,11,339,601
decay,0.8,31004,39130.0,65108.153078203,False,0,False,6,339,601
decay,0.8,31005,36390.0,60549.084858569055,False,0,False,10,339,601
decay,0.8,31006,37860.0,62995.00831946755,False,0,False,12,339,601
decay,0.8,31007,37040.0,61630.615640599,False,0,False,8,339,601
decay,1.0,31000,35770.0,59517.47088186356,False,0,False,13,339,601
decay,1.0,31001,34990.0,58219.63394342762,False,0,False,16,339,601
decay,1.0,31002,35360.0,58835.27454242929,False,0,False,10,339,601
decay,1.0,31003,35630.0,59284.52579034942,False,0,False,16,339,601
decay,1.0,31004,35350.0,58818.635607321135,False,0,False,9,339,601
decay,1.0,31005,34030.0,56622.29617304493,False,0,False,11,339,601
decay,1.0,31006,35470.0,59018.30282861897,False,0,False,16,339,601
decay,1.0,31007,35600.0,59234.608985024955,False,0,False,12,339,601
decay,1.3,31000,52100.0,86688.85191347753,False,0,False,28,256,601
decay,1.3,31001,57580.0,95806.98835274542,False,0,False,26,228,601
decay,1.3,31002,53560.0,89118.13643926788,False,0,False,18,248,601
decay,1.3,31003,56870.0,94625.62396006656,False,0,False,23,236,601
decay,1.3,31004,55000.0,91514.14309484194,False,0,False,16,241,601
decay,1.3,31005,56680.0,94309.48419301165,False,0,False,17,235,601
decay,1.3,31006,61240.0,101896.83860232944,False,0,False,36,214,601
decay,1.3,31007,58949.99999999999,98086.5224625624,False,0,False,19,228,601
decay,1.7,31000,87660.0,145856.9051580699,False,0,False,61,105,601
decay,1.7,31001,92400.0,153743.76039933445,False,0,False,34,81,601
decay,1.7,31002,91710.0,152595.67387687188,False,0,False,42,87,601
decay,1.7,31003,91199.99999999999,151747.0881863561,False,0,False,36,89,601
decay,1.7,31004,90930.0,151297.83693843594,False,0,False,32,88,601
decay,1.7,31005,90420.0,150449.25124792015,False,0,False,28,94,601
decay,1.7,31006,94380.0,157038.26955074875,False,0,False,60,73,601
decay,1.7,31007,92810.0,154425.95673876873,False,0,False,34,83,601
