scenario_id,policy_id,seed,shortfall_per_10k,post_shift_shortfall_per_10k,false_alarm,false_mitigation_ticks,missed_crisis,response_delay_ticks,mitigation_ticks,post_shift_ticks
default,never,41010,112720.0,187554.07653910152,False,0,True,601,0,601
default,never,41011,111950.0,186272.87853577372,False,0,True,601,0,601
default,never,41012,112070.00000000001,186472.54575707155,False,0,True,601,0,601
default,never,41013,112100.00000000001,186522.462562396,False,0,True,601,0,601
default,never,41014,113620.0,189051.58069883526,False,0,True,601,0,601
default,never,41015,112180.0,186655.57404326124,False,0,True,601,0,601
default,never,41016,111710.0,185873.54409317803,False,0,True,601,0,601
default,never,41017,111960.0,186289.51747088187,False,0,True,601,0,601
default,never,41018,112360.0,186955.074875208,False,0,True,601,0,601
default,never,41019,112870.00000000001,187803.66056572378,False,0,True,601,0,601
default,never,41020,112500.0,187188.01996672212,False,0,True,601,0,601
default,never,41021,112700.0,187520.7986688852,False,0,True,601,0,601
default,never,41022,112160.0,186622.29617304495,False,0,True,601,0,601
default,never,41023,113290.0,188502.4958402662,False,0,True,601,0,601
forwarding_shift,raw,41000,40860.0,67986.68885191348,False,0,False,18,339,601
forwarding_shift,raw,41001,39860.0,66322.79534109817,False,0,False,15,339,601
forwarding_shift,raw,41002,39930.0,66439.26788685525,False,0,False,14,339,601
forwarding_shift,raw,41003,40410.00000000001,67237.9367720466,False,0,False,11,339,601
forwarding_shift,raw,41004,40400.0,67221.29783693844,False,0,False,15,339,601
forwarding_shift,raw,41005,42170.0,70166.38935108153,False,0,False,9,339,601
forwarding_shift,raw,41006,40270.0,67004.99168053245,False,0,False,15,339,601
forwarding_shift,raw,41007,41880.0,69683.8602329451,False,0,False,14,339,601
forwarding_shift,raw,41008,39360.0,65490.84858569052,False,0,False,3,339,601
forwarding_shift,raw,41009,39700.0,66056.57237936772,False,0,False,16,339,601
forwarding_shift,raw,41010,40080.0,66688.85191347754,False,0,False,15,339,601
forwarding_shift,raw,41011,40140.0,66788.68552412646,False,0,False,15,339,601
forwarding_shift,raw,41012,39710.0,66073.21131447588,False,0,False,7,339,601
forwarding_shift,raw,41013,39180.0,65191.347753743765,False,0,False,7,339,601
forwarding_shift,raw,41014,42490.0,70698.83527454243,False,0,False,18,339,601
forwarding_shift,raw,41015,40570.00000000001,67504.15973377704,False,0,False,14,339,601
forwarding_shift,raw,41016,39500.0,65723.79367720467,False,0,False,4,339,601
forwarding_shift,raw,41017,40370.0,67171.38103161399,False,0,False,20,339,601
forwarding_shift,raw,41018,40050.0,66638.93510815308,False,0,False,12,339,601
forwarding_shift,raw,41019,40359.99999999999,67154.74209650583,False,0,False,12,339,601
forwarding_shift,raw,41020,40720.0,67753.74376039933,False,0,False,5,339,601
forwarding_shift,raw,41021,41080.0,68352.74542429285,False,0,False,18,339,601
forwarding_shift,raw,41022,39850.0,66306.15640599003,False,0,False,13,339,601
forwarding_shift,raw,41023,40770.0,67836.9384359401,False,0,False,11,339,601
