bank_id,condition,seed,checkpoint,updates_in_window,mean_loss,last_loss,training_examples
1,within_map_uniform,0,100,100,0.020082657113671302,0.019979218021035194,6400
1,within_map_uniform,0,200,100,0.014430794077925383,0.008878041058778763,12800
1,within_map_uniform,0,300,100,0.01416069123428315,0.014220873825252056,19200
1,within_map_uniform,0,400,100,0.011183482520282268,0.010088724084198475,25600
1,within_map_uniform,0,500,100,0.00935142561327666,0.007200669031590223,32000
1,within_map_uniform,0,600,100,0.006576927846763283,0.005556501913815737,38400
1,within_map_uniform,0,700,100,0.005235581216402352,0.004341850057244301,44800
1,within_map_uniform,0,800,100,0.005156826633028686,0.005112005863338709,51200
1,within_map_uniform,0,900,100,0.005272732409648598,0.006500320974737406,57600
1,within_map_uniform,0,1000,100,0.005481875797268003,0.005920230410993099,64000
1,within_map_uniform,0,1100,100,0.006160218438599259,0.0058713145554065704,70400
1,within_map_uniform,0,1200,100,0.006212446761783213,0.006210558116436005,76800
1,within_map_uniform,0,1300,100,0.006470248326659203,0.008934843353927135,83200
1,within_map_uniform,0,1400,100,0.006698024882934988,0.0039968364872038364,89600
1,within_map_uniform,0,1500,100,0.006624344370793551,0.004394073970615864,96000
1,within_map_uniform,0,1600,100,0.005956733403727412,0.0043625906109809875,102400
1,within_map_uniform,0,1700,100,0.004847655267221853,0.009108486585319042,108800
1,within_map_uniform,0,1800,100,0.005316699646646157,0.008148342370986938,115200
1,within_map_uniform,0,1900,100,0.004555520338471979,0.0017719019670039415,121600
1,within_map_uniform,0,2000,100,0.004215582202887163,0.0071780625730752945,128000
1,within_map_uniform,0,2100,100,0.004129410014720634,0.0041908095590770245,134400
1,within_map_uniform,0,2200,100,0.003489869674667716,0.005281380377709866,140800
1,within_map_uniform,0,2300,100,0.0031543456902727485,0.0040860893204808235,147200
1,within_map_uniform,0,2400,100,0.00245268497208599,0.0026485524140298367,153600
1,within_map_uniform,0,2500,100,0.0019489676097873597,0.001193841453641653,160000
1,within_map_uniform,0,2600,100,0.002031141456682235,0.0018743656110018492,166400
1,within_map_uniform,0,2700,100,0.0020236553088761864,0.0011638806900009513,172800
1,within_map_uniform,0,2800,100,0.0019388916267780588,0.0011755143059417605,179200
1,within_map_uniform,0,2900,100,0.001749278333154507,0.0010959237115457654,185600
1,within_map_uniform,0,3000,100,0.0016531318658962845,0.003101200331002474,192000
1,within_map_uniform,0,3100,100,0.0018119745026342572,0.0030685104429721832,198400
1,within_map_uniform,0,3200,100,0.0018296517571434379,0.0011374758323654532,204800
1,within_map_uniform,0,3300,100,0.0019372798292897641,0.0013607349246740341,211200
1,within_map_uniform,0,3400,100,0.0018873984296806157,0.0014792057918384671,217600
1,within_map_uniform,0,3500,100,0.0019418245583074168,0.0012734201736748219,224000
1,within_map_uniform,0,3600,100,0.0018676118535222485,0.0015917741693556309,230400
1,within_map_uniform,0,3700,100,0.0019149135740008205,0.0014194250106811523,236800
1,within_map_uniform,0,3800,100,0.0018161998491268605,0.0021087052300572395,243200
1,within_map_uniform,0,3900,100,0.0019089280255138875,0.0017494618659839034,249600
1,within_map_uniform,0,4000,100,0.001974231112981215,0.0028473734855651855,256000
1,within_map_uniform,0,4100,100,0.001704965151147917,0.0011838151840493083,262400
1,within_map_uniform,0,4200,100,0.0019415950635448098,0.0017684862250462174,268800
1,within_map_uniform,0,4300,100,0.0018869237846229226,0.0024990763049572706,275200
1,within_map_uniform,0,4400,100,0.0017359051277162508,0.0014259463641792536,281600
1,within_map_uniform,0,4500,100,0.0018924734240863472,0.002625091467052698,288000
1,within_map_uniform,0,4600,100,0.001839150384766981,0.0020133224315941334,294400
1,within_map_uniform,0,4700,100,0.0017589644447434693,0.0016727021429687738,300800
1,within_map_uniform,0,4800,100,0.001993566133314744,0.0015222510555759072,307200
1,within_map_uniform,0,4900,100,0.0018720639159437269,0.0022101765498518944,313600
1,within_map_uniform,0,5000,100,0.0018245500844204798,0.001920632435940206,320000
1,within_map_uniform,0,5100,100,0.0018770154716912658,0.0019320986466482282,326400
1,within_map_uniform,0,5200,100,0.001825033095665276,0.002217401983216405,332800
1,within_map_uniform,0,5300,100,0.001935327664250508,0.0014620274305343628,339200
1,within_map_uniform,0,5400,100,0.0018709373456658796,0.002758772810921073,345600
1,within_map_uniform,0,5500,100,0.0018865342368371784,0.0012105851201340556,352000
1,within_map_uniform,0,5600,100,0.0017521174589637666,0.0011886132415384054,358400
1,within_map_uniform,0,5700,100,0.001937620141543448,0.001471480936743319,364800
1,within_map_uniform,0,5800,100,0.0018482200684957206,0.0010309497592970729,371200
1,within_map_uniform,0,5900,100,0.0018488375283777713,0.0012015685206279159,377600
1,within_map_uniform,0,6000,100,0.001705753998248838,0.0021301698870956898,384000
1,within_map_uniform,0,6100,100,0.0017983871750766412,0.0014196052215993404,390400
1,within_map_uniform,0,6200,100,0.0016938932228367776,0.0012154863215982914,396800
1,within_map_uniform,0,6300,100,0.0017979396099690348,0.0012701158411800861,403200
1,within_map_uniform,0,6400,100,0.001774838471901603,0.0015897746197879314,409600
1,within_map_uniform,0,6500,100,0.0018589434039313346,0.001768173067830503,416000
1,within_map_uniform,0,6600,100,0.0017714044370222837,0.0021771478932350874,422400
1,within_map_uniform,0,6700,100,0.0016483771271305159,0.0011803893139585853,428800
1,within_map_uniform,0,6800,100,0.0017599311447702348,0.00202171434648335,435200
1,within_map_uniform,0,6900,100,0.0017817649326752872,0.0023819427005946636,441600
1,within_map_uniform,0,7000,100,0.001713280791300349,0.001995727187022567,448000
1,within_map_uniform,0,7100,100,0.0017606142169097438,0.0012549605453386903,454400
1,within_map_uniform,0,7200,100,0.0017679658450651915,0.0014344117371365428,460800
1,within_map_uniform,0,7300,100,0.0017498113965848461,0.001107901451177895,467200
1,within_map_uniform,0,7400,100,0.001644376302137971,0.0022531363647431135,473600
1,within_map_uniform,0,7500,100,0.0016026567725930363,0.0017346784006804228,480000
1,within_map_uniform,0,7600,100,0.0016953905869740993,0.0010259340051561594,486400
1,within_map_uniform,0,7700,100,0.0016601429774891585,0.0019781754817813635,492800
1,within_map_uniform,0,7800,100,0.001742989796330221,0.0013896505115553737,499200
1,within_map_uniform,0,7900,100,0.0017675249371677637,0.002396634314209223,505600
