map_seed,repetition,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps
300005,4,32,0,0,1,1,-0.3200000000000001,-0.05879999999999977,7
300005,5,8,1,1,0,1,0.9199999999999999,1.0216,2
300005,6,32,0,0,1,1,-0.3200000000000001,-0.08879999999999982,7
300005,7,3,1,1,0,1,0.97,1.0524,1
300005,8,32,0,0,1,1,-0.3200000000000001,-0.14279999999999995,11
300005,9,32,0,0,1,1,-0.3200000000000001,-0.12119999999999997,8
300005,10,10,1,1,0,1,0.9,1.0052,4
300005,11,32,0,0,1,1,-0.3200000000000001,-0.06479999999999989,7
300005,12,3,1,1,0,1,0.97,1.0536,1
300005,13,32,0,0,1,1,-0.3200000000000001,-0.13559999999999994,12
300005,14,32,0,0,1,1,-0.3200000000000001,-0.09839999999999982,12
300005,15,9,1,1,0,1,0.91,1.0152,1
300006,0,32,0,0,1,1,-0.3200000000000001,0.0628000000000001,11
300006,1,32,0,0,1,1,-0.3200000000000001,0.03640000000000013,13
300006,2,32,0,0,1,1,-0.3200000000000001,0.055600000000000115,10
300006,3,32,0,0,1,1,-0.3200000000000001,0.11440000000000013,12
300006,4,32,0,0,1,1,-0.3200000000000001,0.08920000000000015,12
300006,5,30,1,1,0,1,0.7,1.0468000000000002,10
300006,6,32,1,1,0,1,0.6799999999999999,1.0772000000000002,8
300006,7,32,0,0,1,1,-0.3200000000000001,0.11080000000000013,14
300006,8,25,1,1,0,1,0.7499999999999999,1.1112000000000002,9
300006,9,32,0,0,1,1,-0.3200000000000001,0.11320000000000013,17
300006,10,32,0,0,1,1,-0.3200000000000001,0.09880000000000015,14
300006,11,12,1,1,0,1,0.88,1.1620000000000001,4
300006,12,14,1,1,0,1,0.86,1.1588,8
300006,13,32,0,0,1,1,-0.3200000000000001,0.09760000000000013,14
300006,14,32,0,0,1,1,-0.3200000000000001,0.037600000000000106,15
300006,15,32,0,0,1,1,-0.3200000000000001,0.08920000000000013,11
300007,0,20,1,1,0,1,0.7999999999999999,0.9112,10
300007,1,28,1,1,0,1,0.72,0.8576000000000001,12
300007,2,8,1,1,0,1,0.9199999999999999,1.0192,0
300007,3,32,1,1,0,1,0.6799999999999999,0.8764000000000002,12
300007,4,4,1,1,0,1,0.96,1.046,2
300007,5,2,1,1,0,1,0.98,1.0612,0
300007,6,32,0,0,1,1,-0.3200000000000001,-0.12239999999999991,8
300007,7,2,1,1,0,1,0.98,1.0612,0
300007,8,32,0,0,1,1,-0.3200000000000001,-0.10679999999999999,8
300007,9,11,1,1,0,1,0.89,0.9844,5
300007,10,32,0,0,1,1,-0.3200000000000001,-0.12599999999999983,14
300007,11,2,1,1,0,1,0.98,1.0612,0
300007,12,32,0,0,1,1,-0.3200000000000001,-0.10439999999999981,12
300007,13,32,0,0,1,1,-0.3200000000000001,-0.04319999999999982,20
300007,14,6,1,1,0,1,0.94,1.0308,0
300007,15,32,0,0,1,1,-0.3200000000000001,-0.11520000000000001,4
300008,0,32,0,0,1,1,-0.3200000000000001,-0.026799999999999893,8
300008,1,32,0,0,1,1,-0.3200000000000001,-0.0015999999999998932,8
300008,2,32,0,0,1,1,-0.3200000000000001,0.02000000000000013,9
300008,3,32,0,0,1,1,-0.3200000000000001,0.006800000000000167,4
300008,4,29,1,1,0,1,0.71,0.9732000000000001,7
300008,5,32,0,0,1,1,-0.3200000000000001,-0.054399999999999935,8
300008,6,32,0,0,1,1,-0.3200000000000001,-0.05079999999999989,6
300008,7,10,1,1,0,1,0.9,1.0876000000000001,0
300008,8,14,1,1,0,1,0.86,1.0644,6
300008,9,32,0,0,1,1,-0.3200000000000001,0.027200000000000113,17
300008,10,32,0,0,1,1,-0.3200000000000001,-0.04479999999999994,7
300008,11,32,0,0,1,1,-0.3200000000000001,-0.04479999999999991,4
300008,12,32,0,0,1,1,-0.3200000000000001,-0.023199999999999846,10
300008,13,32,0,0,1,1,-0.3200000000000001,-0.0435999999999999,6
300008,14,32,0,0,1,1,-0.3200000000000001,-0.011199999999999904,9
300008,15,32,0,0,1,1,-0.3200000000000001,-0.02559999999999986,6
300009,0,4,1,1,0,1,0.96,1.0448,0
300009,1,32,0,0,1,1,-0.3200000000000001,-0.13319999999999993,5
300009,2,2,1,1,0,1,0.98,1.0612,0
300009,3,3,1,1,0,1,0.97,1.0536,1
300009,4,32,0,0,1,1,-0.3200000000000001,-0.10560000000000003,10
300009,5,3,1,1,0,1,0.97,1.0536,1
300009,6,27,1,1,0,1,0.73,0.8748,7
300009,7,3,1,1,0,1,0.97,1.0524,1
300009,8,25,1,1,0,1,0.7499999999999999,0.9092,5
300009,9,24,1,1,0,1,0.7599999999999999,0.9132,4
