condition,policy,seed,checkpoint,checkpoint_complete,mode,panel,map_seed,task_hash,repetition,success,steps,base_return,shaped_return,noop_steps,moving_steps,moved_revisits,unique_positions,winnable_steps,optimal_winnable_actions,avoidable_failure_actions,action_regret_sum,q_abs_error_sum,q_error_steps,initial_abs_q_error,parameter_hash,reference_sample_id
collected_unique,learner,0,30000,1,greedy,panel_0,970015,2134073f1aa220281f92fbc334e6c15dd7178c4a9f7dcafe323f1f03994a0a4d,0,1,1,0.99,1.03,0,1,0,2,1,1,0,0.0,0.030410171472549402,1,0.030410171472549402,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970016,a4d159329829d80cc155326cd69d39853c332954c965c1c548c5a55a635bb6a6,0,1,18,0.82,1.0764,13,5,0,6,18,5,0,0.48836494480000003,1.6414375519886284,18,0.11174458992515529,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970017,414eeb9dd84dd15cbaf5eec2f4346797338e8ef95f5376e52f13528d063a2793,0,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,0.23141598723388654,2,0.13585300673748002,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970018,ea4d5cc2b8bdf6b32fad288fa94e560be501db951fa82e67cabddeb41d0a391d,0,1,22,0.7799999999999999,0.9696,15,7,4,4,22,5,0,0.7120314100000017,1.4075521081430822,22,0.09264915074199048,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970019,6392fd82509ad86e0c8edd8e515f726076faaa6da1280e2fd9fffd6782ab6456,0,0,32,-0.3200000000000001,0.021200000000000163,17,15,10,6,27,4,1,1.851882186610609,2.866878211997277,32,0.04355726057735454,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970020,490d6a3fba736f9e813577d16503c2ebf53df4e9abd0dce6d6a6e9481d918dae,0,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,0.19152570393814067,2,0.08369933600009902,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970021,92c84117b65da94a74a20c5a5532c00beb97efec34235a689f201868d30aad2d,0,1,26,0.74,1.0092,20,6,0,7,26,5,0,0.8005250919999994,3.761654478841613,26,0.021313087083514454,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970022,04c00a543ad6c0edaeb6fda4b0a8276cb6ea8e923e6fe869c0258a990a2d6f02,0,1,2,0.98,1.0612,0,2,0,3,2,2,0,0.0,0.0829731796033476,2,0.044478520052680826,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970023,412fd7fa70e0a6aefce63350edd1dc825eb6b7958ee0922bc1ff8dc1247b9225,0,1,29,0.71,1.0504000000000002,20,9,1,9,29,7,0,0.8583053867396093,1.655233323666843,29,0.044043203663339026,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
collected_unique,learner,0,30000,1,greedy,panel_0,970024,3bfddfc78f651407075c9560e401042fc8059f7479bfbe4a0298cf5957dad4f5,0,0,32,-0.3200000000000001,-0.04199999999999987,29,3,0,4,31,3,1,2.0097430000000034,4.501384397120792,32,0.10857062585305155,527f418238a847a1c93801cb00177672edde62849e24ce341de92dc01d4affa8,
