bank_id,condition,seed,checkpoint,updates_in_window,query_count,outside_count,positive_target_deltas,negative_target_deltas,zero_target_deltas,online_gap_sum,online_gap_squared_sum,target_delta_sum,target_delta_squared_sum,online_gap_min,online_gap_max,target_delta_min,target_delta_max,outside_fraction,online_gap_mean,target_delta_mean,sign_tolerance
1,constrained_bootstrap,0,100,100,8672,5182,2713,2469,3490,176.9078689450398,10.65312253172804,-11.50135444290936,44.624271796818036,0.0,0.2530038356781006,-0.2591100037097931,0.23063740134239197,0.5975553505535055,0.02039989263665127,-0.0013262631968299539,1e-12
1,constrained_bootstrap,0,200,100,8497,5048,1491,3557,3449,154.88568156771362,7.187651427339525,-83.33519612275995,5.7368351831502125,0.0,0.1316969394683838,-0.11250679939985275,0.10336865484714508,0.5940920324820524,0.018228278400342898,-0.009807602226993051,1e-12
1,constrained_bootstrap,0,300,100,8534,5151,974,4177,3383,196.0830210056156,11.338288222422825,-110.64363387180492,5.223684452490429,0.0,0.17323173582553864,-0.10914555937051773,0.05159313976764679,0.603585657370518,0.02297668397066037,-0.012965037950762237,1e-12
1,constrained_bootstrap,0,400,100,8564,5077,795,4282,3487,223.44654292799532,14.887916491561203,-136.11933943722397,7.240916744361186,0.0,0.16752681136131287,-0.12893223762512207,0.05928685516119003,0.592830453059318,0.02609137586735116,-0.015894364717097615,1e-12
1,constrained_bootstrap,0,500,100,8592,5089,694,4395,3503,234.89345204085112,16.29349468410699,-155.8713417686522,8.866275667109733,0.0,0.2068330943584442,-0.16357839107513428,0.05349378287792206,0.5922951582867784,0.027338623375331834,-0.018141450392068457,1e-12
1,constrained_bootstrap,0,600,100,8625,5123,610,4513,3502,252.96111422404647,18.681597411757963,-181.76080461218953,11.271004130924977,0.0,0.22325929999351501,-0.16358458995819092,0.060649022459983826,0.5939710144927536,0.029328824837570606,-0.021073716476775597,1e-12
1,constrained_bootstrap,0,700,100,8644,5206,720,4486,3438,299.05034632608294,26.109565000002554,-205.5260328091681,14.794475256197225,0.0,0.30703091621398926,-0.24537552893161774,0.07124712318181992,0.6022674687644609,0.03459629180079627,-0.023776727534609913,1e-12
1,constrained_bootstrap,0,800,100,8632,5162,677,4485,3470,305.4156817533076,28.233558586420195,-224.76975372806191,17.931100155932693,0.0,0.3231062889099121,-0.2567194700241089,0.08293844759464264,0.5980074142724745,0.035381798164192256,-0.026039128096392715,1e-12
1,constrained_bootstrap,0,900,100,8669,5125,660,4465,3544,321.64758794009686,31.374187596988516,-239.75603928416967,20.56643901481972,0.0,0.39215314388275146,-0.25957468152046204,0.10327881574630737,0.5911869881185835,0.03710319390242206,-0.027656712341004693,1e-12
1,constrained_bootstrap,0,1000,100,8622,5141,588,4553,3481,317.4902505800128,31.7986760889867,-251.83567265421152,22.529503922912827,0.0,0.36668893694877625,-0.25661149621009827,0.11171898245811462,0.5962653676641151,0.03682327192994813,-0.029208498336141444,1e-12
1,constrained_bootstrap,0,1100,100,8693,5201,660,4541,3492,333.6486512348056,36.50267146551392,-256.868388466537,24.856893765802607,0.0,0.5430324673652649,-0.35189202427864075,0.09675326943397522,0.5982974807316231,0.03838130118886525,-0.02954887708116151,1e-12
1,constrained_bootstrap,0,1200,100,8655,5154,533,4621,3501,344.68272341787815,39.796041033841306,-271.1222673282027,26.80885601293318,0.0,0.629704475402832,-0.38231343030929565,0.06674684584140778,0.5954939341421144,0.03982469363580337,-0.03132550749026028,1e-12
1,constrained_bootstrap,0,1300,100,8558,5117,552,4565,3441,379.30550792068243,52.060121262042905,-293.164572827518,34.68515134791552,0.0,0.6193717122077942,-0.4967283308506012,0.11531519889831543,0.597920074783828,0.04432174666051442,-0.03425620154563192,1e-12
1,constrained_bootstrap,0,1400,100,8698,5243,643,4600,3455,413.62815407663584,65.38480291001221,-320.33775366842747,44.19718397787919,0.0,0.8055227994918823,-0.5927441120147705,0.10590936243534088,0.6027822487928259,0.04755439803134466,-0.03682889786944441,1e-12
1,constrained_bootstrap,0,1500,100,8548,5058,606,4452,3490,413.56645458191633,70.15904703021272,-323.7794729359448,49.00123105675573,0.0,0.7616966962814331,-0.6116569638252258,0.11892235279083252,0.5917173607861488,0.04838166291318628,-0.037877804508182594,1e-12
1,constrained_bootstrap,0,1600,100,8621,5143,560,4583,3478,440.28537053614855,84.85396284888114,-351.3435810096562,62.13073050032203,0.0,0.8856109380722046,-0.7405563592910767,0.10649025440216064,0.5965665236051502,0.05107126441667423,-0.040754388239143506,1e-12
1,constrained_bootstrap,0,1700,100,8664,5189,578,4611,3475,447.14595471322536,91.24442758806785,-366.07353886961937,69.53023810821996,0.0,0.863142728805542,-0.8133571743965149,0.10641834139823914,0.5989150507848569,0.05160964389580164,-0.042252255178857265,1e-12
1,constrained_bootstrap,0,1800,100,8563,5142,580,4562,3421,475.5003143399954,109.45311529333365,-389.0232695788145,84.93593511785541,0.0,1.039604902267456,-0.8868775367736816,0.1374484747648239,0.6004904823076025,0.055529640819805604,-0.045430721660494514,1e-12
1,constrained_bootstrap,0,1900,100,8681,5227,557,4670,3454,466.6721129193902,113.2725693964267,-392.23481986299157,92.02389505645314,0.0,0.9557753801345825,-0.8772300481796265,0.11100593209266663,0.6021195714779404,0.05375787500511349,-0.0451831378715576,1e-12
1,constrained_bootstrap,0,2000,100,8641,5052,607,4445,3589,478.2849035188556,121.19694115257138,-395.47142622992396,100.43749049700654,0.0,0.9693408012390137,-0.8974970579147339,0.1353599578142166,0.5846545538710798,0.05535064269400018,-0.04576685872351857,1e-12
1,constrained_bootstrap,0,2100,100,8588,5197,545,4652,3391,522.4758746400476,136.33736040176169,-425.64009948819876,110.87817228073038,0.0,0.9794921875,-0.8841434717178345,0.09573352336883545,0.6051467163483931,0.06083789877038281,-0.04956219137030726,1e-12
1,constrained_bootstrap,0,2200,100,8662,5258,539,4719,3404,510.84476532042027,132.3386095961217,-444.3122734129429,117.64183901468536,0.0,0.9205048084259033,-0.8520033955574036,0.13491535186767578,0.6070191641653198,0.058975382743063985,-0.05129442085118251,1e-12
1,constrained_bootstrap,0,2300,100,8529,5113,506,4607,3416,547.345318287611,150.3376751831707,-466.19606713950634,127.37568895837089,0.0,0.9011853933334351,-0.8792380094528198,0.1438659429550171,0.5994841130261461,0.06417461816011384,-0.05466010870436233,1e-12
1,constrained_bootstrap,0,2400,100,8592,5155,448,4707,3437,528.2223739922047,138.9098464399216,-450.70598078146577,117.12945835238368,0.0,0.8723688125610352,-0.8647253513336182,0.1469351053237915,0.5999767225325885,0.061478395483264045,-0.05245646889914639,1e-12
1,constrained_bootstrap,0,2500,100,8596,5171,490,4681,3425,557.744046010077,151.38216015403228,-476.6622757576406,125.91788465274753,0.0,1.0011433362960815,-0.9232317209243774,0.12984246015548706,0.6015588645881805,0.06488413750698895,-0.05545163747762222,1e-12
1,constrained_bootstrap,0,2600,100,8630,5145,485,4660,3485,568.6821620315313,157.29327431855745,-503.65687162801623,142.35885366877451,0.0,0.9390416145324707,-0.8843579888343811,0.1390734612941742,0.5961761297798378,0.06589596315544975,-0.05836116704843757,1e-12
1,constrained_bootstrap,0,2700,100,8661,5064,410,4654,3597,558.2349662333727,154.58237934245983,-497.28699631989,138.5453518626222,0.0,0.907342791557312,-0.8639669418334961,0.0788743793964386,0.5846899896085902,0.0644538697879428,-0.05741681056689644,1e-12
1,constrained_bootstrap,0,2800,100,8697,5239,384,4855,3458,570.8901003822684,153.73639699201436,-529.4193587526679,148.12383986542514,0.0,0.9616525173187256,-0.9674738645553589,0.14826500415802002,0.6023916292974589,0.0656421870049751,-0.06087379081897987,1e-12
1,constrained_bootstrap,0,2900,100,8685,5206,493,4713,3479,576.0333948470652,163.81888095432942,-503.86889263242483,141.64178335319178,0.0,0.9800159335136414,-0.9012612104415894,0.19469106197357178,0.5994242947610823,0.06632508864099772,-0.05801599224322681,1e-12
1,constrained_bootstrap,0,3000,100,8665,5231,362,4869,3434,583.0456300377846,159.82463490202755,-532.862596731633,148.5446614300254,0.0,0.9716893434524536,-0.9348272085189819,0.149491548538208,0.6036930178880554,0.06728743566506458,-0.061495971925174024,1e-12
1,constrained_bootstrap,0,3100,100,8675,5173,353,4820,3502,588.2433752939105,162.77626970563014,-526.7409605309367,143.43386560801403,0.0,0.8627005815505981,-0.8336706161499023,0.1436101198196411,0.5963112391930836,0.06780903461601274,-0.06071941908137599,1e-12
1,constrained_bootstrap,0,3200,100,8624,5148,417,4731,3476,589.1312011666596,158.67878662741327,-522.1944765932858,139.1554748547142,0.0,0.8956937193870544,-0.8315067291259766,0.228605717420578,0.5969387755102041,0.06831298714826758,-0.06055130758270939,1e-12
1,constrained_bootstrap,0,3300,100,8636,5220,346,4874,3416,580.9410294629633,152.50057645050265,-534.1036837846041,139.4063938893542,0.0,0.8620945811271667,-0.8449829816818237,0.1094280481338501,0.6044465030106531,0.06726968845101475,-0.06184618848825892,1e-12
1,constrained_bootstrap,0,3400,100,8611,5145,370,4775,3466,600.2621445283294,161.24426422671604,-544.2961766794324,146.387941314879,0.0,0.8046925067901611,-0.8056809902191162,0.10928094387054443,0.5974915805365231,0.06970876141311455,-0.06320940386475815,1e-12
1,constrained_bootstrap,0,3500,100,8552,5070,377,4693,3482,579.5226153880358,157.07386753785252,-532.621522963047,143.3359309922889,0.0,1.0151195526123047,-0.8941597938537598,0.06760638952255249,0.592843779232928,0.06776457149064964,-0.06228034646434133,1e-12
1,constrained_bootstrap,0,3600,100,8654,5150,325,4825,3504,593.976029843092,160.5124398091567,-549.5474499873817,147.22192115281194,0.0,0.8911875486373901,-0.7715548276901245,0.15014857053756714,0.5951005315461059,0.06863600991946983,-0.06350213196064036,1e-12
