bank_id,condition,seed,checkpoint,updates_in_window,mean_loss,last_loss,training_examples
1,constrained_bootstrap,0,100,100,0.012526949021266774,0.01334319543093443,6400
1,constrained_bootstrap,0,200,100,0.010917830266989767,0.007889931090176105,12800
1,constrained_bootstrap,0,300,100,0.00970197145419661,0.008054065518081188,19200
1,constrained_bootstrap,0,400,100,0.00902564705873374,0.006482553668320179,25600
1,constrained_bootstrap,0,500,100,0.009117817931692116,0.017115559428930283,32000
1,constrained_bootstrap,0,600,100,0.0091950684733456,0.004162363708019257,38400
1,constrained_bootstrap,0,700,100,0.008846977627836167,0.013099315576255322,44800
1,constrained_bootstrap,0,800,100,0.007963441860629245,0.0013249017065390944,51200
1,constrained_bootstrap,0,900,100,0.008301443259697408,0.007160945329815149,57600
1,constrained_bootstrap,0,1000,100,0.005829280386678875,0.0014825952239334583,64000
1,constrained_bootstrap,0,1100,100,0.005722784757381305,0.0018978358712047338,70400
1,constrained_bootstrap,0,1200,100,0.005925994297722354,0.003208424896001816,76800
1,constrained_bootstrap,0,1300,100,0.005302967217285186,0.003548697102814913,83200
1,constrained_bootstrap,0,1400,100,0.004971542285056784,0.009406205266714096,89600
1,constrained_bootstrap,0,1500,100,0.005624358686618507,0.00821381714195013,96000
1,constrained_bootstrap,0,1600,100,0.005132342076394707,0.0035381068009883165,102400
1,constrained_bootstrap,0,1700,100,0.004668940353440121,0.0015614940784871578,108800
1,constrained_bootstrap,0,1800,100,0.005203631035983563,0.003955955151468515,115200
1,constrained_bootstrap,0,1900,100,0.0049079528811853375,0.004048674367368221,121600
1,constrained_bootstrap,0,2000,100,0.0051144859835039825,0.003691030666232109,128000
1,constrained_bootstrap,0,2100,100,0.005342685047071427,0.0074330829083919525,134400
1,constrained_bootstrap,0,2200,100,0.005300116317812353,0.008738191798329353,140800
1,constrained_bootstrap,0,2300,100,0.005215860926546157,0.007100265007466078,147200
1,constrained_bootstrap,0,2400,100,0.005324822815600783,0.0030800839886069298,153600
1,constrained_bootstrap,0,2500,100,0.005328630800358951,0.0031527685932815075,160000
1,constrained_bootstrap,0,2600,100,0.0054728528205305335,0.0027519152499735355,166400
1,constrained_bootstrap,0,2700,100,0.005298062290530652,0.003274892456829548,172800
1,constrained_bootstrap,0,2800,100,0.005636401809751988,0.004137449432164431,179200
1,constrained_bootstrap,0,2900,100,0.005671881141606719,0.006059503648430109,185600
1,constrained_bootstrap,0,3000,100,0.00532422247924842,0.007708560675382614,192000
1,constrained_bootstrap,0,3100,100,0.004800450864713639,0.00448550283908844,198400
1,constrained_bootstrap,0,3200,100,0.0053990941867232325,0.008050316944718361,204800
1,constrained_bootstrap,0,3300,100,0.005066926155705005,0.0054054115898907185,211200
1,constrained_bootstrap,0,3400,100,0.005055039459839463,0.0055899424478411674,217600
1,constrained_bootstrap,0,3500,100,0.005196089362725615,0.0017520536202937365,224000
1,constrained_bootstrap,0,3600,100,0.00521628913236782,0.0073873987421393394,230400
1,constrained_bootstrap,0,3700,100,0.00500973055139184,0.004039302468299866,236800
1,constrained_bootstrap,0,3800,100,0.0046856594644486904,0.007074558176100254,243200
1,constrained_bootstrap,0,3900,100,0.005144604302477092,0.0042017740197479725,249600
1,constrained_bootstrap,0,4000,100,0.005260247220285237,0.0027322086971253157,256000
1,constrained_bootstrap,0,4100,100,0.00517110405722633,0.003773861564695835,262400
1,constrained_bootstrap,0,4200,100,0.004797997430432588,0.00395115977153182,268800
1,constrained_bootstrap,0,4300,100,0.004963179921032861,0.006852907128632069,275200
1,constrained_bootstrap,0,4400,100,0.005036196131259203,0.004708587191998959,281600
1,constrained_bootstrap,0,4500,100,0.004714351920410991,0.003459726693108678,288000
1,constrained_bootstrap,0,4600,100,0.004701742549659684,0.0034889273811131716,294400
1,constrained_bootstrap,0,4700,100,0.004594757503364235,0.004317707382142544,300800
1,constrained_bootstrap,0,4800,100,0.00496653261827305,0.004301342181861401,307200
1,constrained_bootstrap,0,4900,100,0.004960680352523923,0.003545248880982399,313600
1,constrained_bootstrap,0,5000,100,0.00496117579517886,0.006709845270961523,320000
1,constrained_bootstrap,0,5100,100,0.005209756169933826,0.004457334987819195,326400
1,constrained_bootstrap,0,5200,100,0.005075759701430798,0.003345651086419821,332800
1,constrained_bootstrap,0,5300,100,0.004645194420590997,0.00470345001667738,339200
1,constrained_bootstrap,0,5400,100,0.004786404380574823,0.003345692530274391,345600
1,constrained_bootstrap,0,5500,100,0.004539075286593288,0.003362615592777729,352000
1,constrained_bootstrap,0,5600,100,0.004458675032947212,0.007573036011308432,358400
1,constrained_bootstrap,0,5700,100,0.004596989720594138,0.006077540572732687,364800
1,constrained_bootstrap,0,5800,100,0.0046096010436303915,0.002895176876336336,371200
1,constrained_bootstrap,0,5900,100,0.004696303722448647,0.005911068990826607,377600
