map_seed,repetition,policy,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps,trajectory_sha256
300000,0,random,8,1,1,0,1,0.9199999999999999,1.0108000000000001,2,2f1c87b8165f6b5f12daf2c1f7d81902f95392de9244f34be96b465406ae6ac9
300000,1,random,30,1,1,0,1,0.7,0.8844000000000001,12,5dd4b2666836eaeb6bbc34041c1b0d92514dcc1215537fa8ddddda5c90683537
300000,2,random,32,0,0,1,1,-0.3200000000000001,-0.12119999999999988,16,6b29a027d5c751e4d4b893fb268223204af8006dc52d7af9445403592970ba02
300000,3,random,32,0,0,1,1,-0.3200000000000001,-0.14279999999999993,14,6d804a2286e95279b4060a35d8850fedfe78d3d37cb7fdf2b9aa8a9efc599096
300000,4,random,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,5,random,6,1,1,0,1,0.94,1.0272000000000001,2,6cc7bd24b3e925cb2f974cdbdf8692dab800244dd966a34fa94a9d2125ef59cf
300000,6,random,8,1,1,0,1,0.9199999999999999,1.0156,2,9389c015ab516eb5ab4ef1f26938c341c7e0ef9d8da42f41ed6754d44da6d3a7
300000,7,random,2,1,1,0,1,0.98,1.0612,0,9f53cf1b7ee8a025301859d9f3e71c63bbf8e60109cbb33d88faeaf4e8cb3442
300000,8,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,9,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,10,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,11,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,12,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,13,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,14,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,15,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300001,0,random,32,0,0,1,1,-0.3200000000000001,0.03200000000000011,22,ec10de0e131b1980a40773c91d1f71c117cb3ef18c504ec72642535dd81f89bd
300001,1,random,32,0,0,1,1,-0.3200000000000001,-0.044799999999999895,15,47451e00726666f3d97b6e7bfcb97afa8e1d30d34cb480d1ed42b3f76958f27a
300001,2,random,10,1,1,0,1,0.9,1.096,6,d592b4996460cebef3769fd3a2d1e94a185d7d2cd31072e4fd76ff7c25f9a732
300001,3,random,23,1,1,0,1,0.7699999999999999,0.9828000000000001,9,a87ba7433b4554494e85aa2c3ad83bff44dbdc1c25d1b1e6573e8d9a8272271c
300001,4,random,29,1,1,0,1,0.71,0.9480000000000001,7,7892ec8daf14d88f608eb9c6d12a9b7422c4a36bceaef1249076c90c2641a1ac
300001,5,random,22,1,1,0,1,0.7799999999999999,1.0096,6,c33cd3c0efc0f543e72172977bc79bf29d058f2697f9ac68b1b41522d871d0ec
300001,6,random,13,1,1,0,1,0.87,1.0624,3,ab7379d79f380594fed4da8af1ce4d0369f58f66203382cab607901f1baf398c
300001,7,random,32,0,0,1,1,-0.3200000000000001,-0.04239999999999991,13,e578cb76774efae77499ed66b2f25a207350dd1240cf8ec494be967b91585451
300001,8,guided,4,1,1,0,1,0.96,1.1272,0,d6e4a25d42655d19ff3f7d235a59fa49e3d7c69bf28ce6347d22d82cf63b2b1e
300001,9,guided,4,1,1,0,1,0.96,1.1272,0,d6e4a25d42655d19ff3f7d235a59fa49e3d7c69bf28ce6347d22d82cf63b2b1e
