seed,condition,checkpoint,world,map_seed,success,steps,base_return,shaped_return,parameter_hash
0,untrained,untrained,A,900000,0,32,-0.3200000000000001,0.028800000000000145,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900001,0,32,-0.3200000000000001,-0.08839999999999988,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900002,0,32,-0.3200000000000001,-0.05119999999999966,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900003,0,32,-0.3200000000000001,0.06600000000000023,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900004,1,1,0.99,1.03,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900005,0,32,-0.3200000000000001,-0.09239999999999957,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900006,0,32,-0.3200000000000001,-0.1283999999999998,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900007,0,32,-0.3200000000000001,-0.05119999999999966,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900008,0,32,-0.3200000000000001,0.028800000000000145,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900009,0,32,-0.3200000000000001,0.06600000000000023,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900010,0,32,-0.3200000000000001,-0.013599999999999751,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900011,0,32,-0.3200000000000001,-0.2428,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900012,0,32,-0.3200000000000001,-0.08839999999999988,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900013,0,32,-0.3200000000000001,0.07000000000000015,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900014,1,2,0.98,1.0612,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,A,900015,0,32,-0.3200000000000001,0.06600000000000023,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900000,0,32,-0.3200000000000001,-0.007199999999999929,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900001,0,32,-0.3200000000000001,-0.05119999999999966,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900002,0,32,-0.3200000000000001,0.019600000000000062,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900003,0,32,-0.3200000000000001,0.06600000000000023,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900004,0,32,-0.3200000000000001,-0.2055999999999999,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900005,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900006,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900007,0,32,-0.3200000000000001,-0.016399999999999998,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900008,0,32,-0.3200000000000001,0.13920000000000027,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900009,0,32,-0.3200000000000001,0.06480000000000022,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900010,0,32,-0.3200000000000001,-0.08439999999999988,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900011,0,32,-0.3200000000000001,-0.13479999999999953,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900012,0,32,-0.3200000000000001,-0.16160000000000005,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900013,0,32,-0.3200000000000001,0.1432000000000001,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
0,untrained,untrained,B,900014,0,32,-0.3200000000000001,-0.16559999999999986,3bd6ff96595f8c611e7133f0ff8a75af3fb01aa4a8398e7e9601b7f2869bc07c
