seed,condition,checkpoint,world,map_seed,success,steps,base_return,shaped_return,parameter_hash
2,random_actions,posthoc_reference,A,900003,1,17,0.83,1.0972000000000002,random-actions-seed-2-map-900003
2,random_actions,posthoc_reference,A,900004,1,3,0.97,1.0124,random-actions-seed-2-map-900004
2,random_actions,posthoc_reference,A,900005,1,2,0.98,1.0612,random-actions-seed-2-map-900005
2,random_actions,posthoc_reference,A,900006,1,29,0.71,0.8860000000000001,random-actions-seed-2-map-900006
2,random_actions,posthoc_reference,A,900007,1,14,0.86,1.028,random-actions-seed-2-map-900007
2,random_actions,posthoc_reference,A,900008,0,32,-0.3200000000000001,0.08520000000000015,random-actions-seed-2-map-900008
2,random_actions,posthoc_reference,A,900009,1,26,0.74,1.0264000000000002,random-actions-seed-2-map-900009
2,random_actions,posthoc_reference,A,900010,0,32,-0.3200000000000001,-0.0051999999999998575,random-actions-seed-2-map-900010
2,random_actions,posthoc_reference,A,900011,0,32,-0.3200000000000001,-0.14559999999999973,random-actions-seed-2-map-900011
2,random_actions,posthoc_reference,A,900012,1,13,0.87,1.0284,random-actions-seed-2-map-900012
2,random_actions,posthoc_reference,A,900013,0,32,-0.3200000000000001,0.10720000000000014,random-actions-seed-2-map-900013
2,random_actions,posthoc_reference,A,900014,1,15,0.85,0.9840000000000001,random-actions-seed-2-map-900014
2,random_actions,posthoc_reference,A,900015,1,11,0.89,1.1236000000000002,random-actions-seed-2-map-900015
0,shortest_path,posthoc_reference,B,900000,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900001,1,3,0.97,1.0936,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900002,1,3,0.97,1.0936,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900003,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900004,1,1,0.99,1.03,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900005,1,2,0.98,1.0612,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900006,1,2,0.98,1.0612,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900007,1,3,0.97,1.0936,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900008,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900009,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900010,1,4,0.96,1.1272,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900011,1,1,0.99,1.03,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900012,1,3,0.97,1.0936,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900013,1,6,0.94,1.198,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900014,1,2,0.98,1.0612,shortest-path-visible-observation-size-5
0,shortest_path,posthoc_reference,B,900015,1,5,0.95,1.162,shortest-path-visible-observation-size-5
0,random_actions,posthoc_reference,B,900000,0,32,-0.3200000000000001,0.03120000000000009,random-actions-seed-0-map-900000
0,random_actions,posthoc_reference,B,900001,0,32,-0.3200000000000001,-0.029599999999999904,random-actions-seed-0-map-900001
0,random_actions,posthoc_reference,B,900002,1,3,0.97,1.0936,random-actions-seed-0-map-900002
0,random_actions,posthoc_reference,B,900003,0,32,-0.3200000000000001,8.326672684688674e-17,random-actions-seed-0-map-900003
0,random_actions,posthoc_reference,B,900004,1,3,0.97,1.0124,random-actions-seed-0-map-900004
0,random_actions,posthoc_reference,B,900005,0,32,-0.3200000000000001,-0.1271999999999999,random-actions-seed-0-map-900005
0,random_actions,posthoc_reference,B,900006,1,2,0.98,1.0612,random-actions-seed-0-map-900006
0,random_actions,posthoc_reference,B,900007,1,19,0.8099999999999999,0.9948000000000001,random-actions-seed-0-map-900007
0,random_actions,posthoc_reference,B,900008,0,32,-0.3200000000000001,0.12000000000000022,random-actions-seed-0-map-900008
0,random_actions,posthoc_reference,B,900009,0,32,-0.3200000000000001,0.02520000000000011,random-actions-seed-0-map-900009
0,random_actions,posthoc_reference,B,900010,1,4,0.96,1.1272,random-actions-seed-0-map-900010
0,random_actions,posthoc_reference,B,900011,1,1,0.99,1.03,random-actions-seed-0-map-900011
0,random_actions,posthoc_reference,B,900012,0,32,-0.3200000000000001,-0.04639999999999986,random-actions-seed-0-map-900012
0,random_actions,posthoc_reference,B,900013,0,32,-0.3200000000000001,0.08560000000000012,random-actions-seed-0-map-900013
0,random_actions,posthoc_reference,B,900014,1,27,0.73,0.9168000000000002,random-actions-seed-0-map-900014
0,random_actions,posthoc_reference,B,900015,0,32,-0.3200000000000001,0.06960000000000025,random-actions-seed-0-map-900015
1,random_actions,posthoc_reference,B,900000,1,13,0.87,1.1036000000000001,random-actions-seed-1-map-900000
1,random_actions,posthoc_reference,B,900001,0,32,-0.3200000000000001,-0.029599999999999793,random-actions-seed-1-map-900001
1,random_actions,posthoc_reference,B,900002,1,3,0.97,1.0936,random-actions-seed-1-map-900002
1,random_actions,posthoc_reference,B,900003,1,24,0.7599999999999999,1.0608000000000002,random-actions-seed-1-map-900003
1,random_actions,posthoc_reference,B,900004,1,3,0.97,1.0124,random-actions-seed-1-map-900004
1,random_actions,posthoc_reference,B,900005,1,14,0.86,0.9736,random-actions-seed-1-map-900005
1,random_actions,posthoc_reference,B,900006,0,32,-0.3200000000000001,-0.1476,random-actions-seed-1-map-900006
1,random_actions,posthoc_reference,B,900007,0,32,-0.3200000000000001,-0.06439999999999971,random-actions-seed-1-map-900007
1,random_actions,posthoc_reference,B,900008,0,32,-0.3200000000000001,0.06840000000000016,random-actions-seed-1-map-900008
1,random_actions,posthoc_reference,B,900009,0,32,-0.3200000000000001,0.015600000000000086,random-actions-seed-1-map-900009
1,random_actions,posthoc_reference,B,900010,1,13,0.87,1.06,random-actions-seed-1-map-900010
1,random_actions,posthoc_reference,B,900011,0,32,-0.3200000000000001,-0.15639999999999993,random-actions-seed-1-map-900011
1,random_actions,posthoc_reference,B,900012,1,24,0.7599999999999999,0.9772000000000001,random-actions-seed-1-map-900012
1,random_actions,posthoc_reference,B,900013,0,32,-0.3200000000000001,0.12160000000000015,random-actions-seed-1-map-900013
1,random_actions,posthoc_reference,B,900014,0,32,-0.3200000000000001,-0.08399999999999991,random-actions-seed-1-map-900014
1,random_actions,posthoc_reference,B,900015,0,32,-0.3200000000000001,-0.005999999999999915,random-actions-seed-1-map-900015
2,random_actions,posthoc_reference,B,900000,0,32,-0.3200000000000001,0.04200000000000012,random-actions-seed-2-map-900000
2,random_actions,posthoc_reference,B,900001,0,32,-0.3200000000000001,-0.06319999999999987,random-actions-seed-2-map-900001
2,random_actions,posthoc_reference,B,900002,0,32,-0.3200000000000001,-0.0055999999999998,random-actions-seed-2-map-900002
2,random_actions,posthoc_reference,B,900003,0,32,-0.3200000000000001,0.04800000000000017,random-actions-seed-2-map-900003
2,random_actions,posthoc_reference,B,900004,1,7,0.9299999999999999,0.9808,random-actions-seed-2-map-900004
2,random_actions,posthoc_reference,B,900005,0,32,-0.3200000000000001,-0.09959999999999972,random-actions-seed-2-map-900005
2,random_actions,posthoc_reference,B,900006,1,21,0.7899999999999999,0.912,random-actions-seed-2-map-900006
2,random_actions,posthoc_reference,B,900007,0,32,-0.3200000000000001,-0.030799999999999758,random-actions-seed-2-map-900007
2,random_actions,posthoc_reference,B,900008,0,32,-0.3200000000000001,0.01920000000000016,random-actions-seed-2-map-900008
2,random_actions,posthoc_reference,B,900009,0,32,-0.3200000000000001,0.031200000000000137,random-actions-seed-2-map-900009
2,random_actions,posthoc_reference,B,900010,0,32,-0.3200000000000001,-0.043599999999999875,random-actions-seed-2-map-900010
2,random_actions,posthoc_reference,B,900011,1,18,0.82,0.902,random-actions-seed-2-map-900011
2,random_actions,posthoc_reference,B,900012,1,16,0.84,0.9984000000000001,random-actions-seed-2-map-900012
2,random_actions,posthoc_reference,B,900013,0,32,-0.3200000000000001,0.06640000000000013,random-actions-seed-2-map-900013
2,random_actions,posthoc_reference,B,900014,1,2,0.98,1.0612,random-actions-seed-2-map-900014
2,random_actions,posthoc_reference,B,900015,0,32,-0.3200000000000001,0.02760000000000011,random-actions-seed-2-map-900015
