seed,checkpoint,panel,map_seed,time_bucket,states,action_values,winnable_states,impossible_states,optimal_winnable_actions,abs_error_sum,squared_error_sum,signed_error_sum,action_regret_sum,winnable_regret_sum,impossible_regret_sum,mean_abs_q_error,rmse_q_error,q95_abs_q_error,mean_signed_q_bias,optimal_action_rate,mean_action_regret,winnable_mean_action_regret,impossible_action_regret
0,0,train,300000,all,640,2560,611,29,272,2398.839453466944,2414.7984143054064,-2396.1514518922104,33.41891146360003,33.41891146360003,0.0,0.9370466615105251,0.9712263539402385,1.024084508087886,-0.9359966608953947,0.4451718494271686,0.05221704916187505,0.05469543611063835,0.0
0,0,train,300000,1-8,160,640,131,29,56,472.14416254808145,461.4164835905711,-469.4561609733478,18.793578194800006,18.793578194800006,0.0,0.7377252539813772,0.8490955515195373,1.0232692913431565,-0.7335252515208559,0.42748091603053434,0.11745986371750003,0.14346242896793898,0.0
0,0,train,300000,9-16,160,640,160,0,72,642.002499467206,650.6311678693955,-642.002499467206,4.87511108960001,4.87511108960001,0.0,1.0031289054175094,1.0082713919356885,1.0238696137164234,-1.0031289054175094,0.45,0.03046944431000006,0.03046944431000006,
0,0,train,300000,17-24,160,640,160,0,72,642.1825881064653,651.0280895801018,-642.1825881064653,4.87511108960001,4.87511108960001,0.0,1.003410293916352,1.0085788962539861,1.0241027685296065,-1.003410293916352,0.45,0.03046944431000006,0.03046944431000006,
0,0,train,300000,25-32,160,640,160,0,72,642.5102033451915,651.7226732653382,-642.5102033451915,4.87511108960001,4.87511108960001,0.0,1.0039221927268618,1.0091167806438912,1.0247644362919306,-1.0039221927268618,0.45,0.03046944431000006,0.03046944431000006,
0,0,train,300001,all,640,2560,578,62,0,2323.0734867914293,2329.1587119539427,-2321.313037828383,61.251333995146496,61.25133399514649,0.0,0.9074505807779021,0.9538488464410956,1.0414125511389227,-0.9067629054017121,0.0,0.0957052093674164,0.10597116608156831,0.0
0,0,train,300001,1-8,160,640,98,62,0,378.73401935758375,340.99267803597695,-376.9735703945373,33.55996480729849,33.5599648072985,0.0,0.5917719052462246,0.7299322293413368,1.01534791096575,-0.5890212037414646,0.0,0.20974978004561556,0.34244862048263774,0.0
0,0,train,300001,9-16,160,640,160,0,0,647.7488310832549,661.8927000795607,-647.7488310832549,9.230456395949332,9.230456395949332,0.0,1.012107548567586,1.016959853619755,1.040698904075101,-1.012107548567586,0.0,0.05769035247468333,0.05769035247468333,
0,0,train,300001,17-24,160,640,160,0,0,648.1242413215358,662.7339216713332,-648.1242413215358,9.230456395949332,9.230456395949332,0.0,1.0126941270648997,1.017605892578978,1.0415408320225776,-1.0126941270648997,0.0,0.05769035247468333,0.05769035247468333,
0,0,train,300001,25-32,160,640,160,0,0,648.466395029055,663.5394121670712,-648.466395029055,9.230456395949332,9.230456395949332,0.0,1.0132287422328985,1.0182241067226059,1.0424322846777738,-1.0132287422328985,0.0,0.05769035247468333,0.05769035247468333,
