seed,checkpoint,updates_in_window,mean_loss,last_loss,training_examples
0,100,100,0.08637971073389053,0.03275514021515846,6400
0,200,100,0.027448652274906636,0.016025854274630547,12800
0,300,100,0.027082616658881307,0.03177974373102188,19200
0,400,100,0.024745210064575075,0.01127373892813921,25600
0,500,100,0.025195157388225198,0.024968594312667847,32000
0,600,100,0.02139337984845042,0.01828441396355629,38400
0,700,100,0.020136350449174643,0.019837867468595505,44800
0,800,100,0.015031494181603194,0.01642834022641182,51200
0,900,100,0.013588838789146393,0.018438076600432396,57600
0,1000,100,0.012261723200790584,0.009011449292302132,64000
0,1100,100,0.0116787235904485,0.012347834184765816,70400
0,1200,100,0.01138461454771459,0.0074339453130960464,76800
0,1300,100,0.009823247259482741,0.011548939161002636,83200
0,1400,100,0.011939768998418003,0.014104127883911133,89600
0,1500,100,0.01098937911912799,0.015614097937941551,96000
0,1600,100,0.011226229118183256,0.005147023592144251,102400
0,1700,100,0.010834871367551386,0.008199726231396198,108800
0,1800,100,0.01018427562667057,0.008783988654613495,115200
0,1900,100,0.010119669015984982,0.00872556772083044,121600
0,2000,100,0.010163223396521062,0.006184904370456934,128000
0,2100,100,0.010023376583121716,0.008729259483516216,134400
0,2200,100,0.010027611574623735,0.007697766646742821,140800
0,2300,100,0.009307969468645752,0.007790337782353163,147200
0,2400,100,0.00933850342174992,0.008606666699051857,153600
0,2500,100,0.008712655138224364,0.005758888088166714,160000
0,2600,100,0.008759214584715664,0.006810369435697794,166400
0,2700,100,0.00924923198763281,0.005877556279301643,172800
0,2800,100,0.0082961759949103,0.00588101614266634,179200
0,2900,100,0.007778571357484907,0.011099743656814098,185600
0,3000,100,0.008392735572997481,0.01037572417408228,192000
0,3100,100,0.007998996856622398,0.001644242787733674,198400
0,3200,100,0.007919587374199183,0.013114886358380318,204800
0,3300,100,0.008220734829083086,0.0041501191444695,211200
0,3400,100,0.007815071537625045,0.013019932433962822,217600
0,3500,100,0.008297853898257017,0.004139591474086046,224000
0,3600,100,0.007712416124995798,0.0030758087523281574,230400
0,3700,100,0.007987399810226635,0.013702800497412682,236800
0,3800,100,0.006918437589192763,0.006152167916297913,243200
0,3900,100,0.0074542384408414365,0.014107787050306797,249600
0,4000,100,0.007049907981418073,0.005833513103425503,256000
