map_seed,repetition,policy,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps,trajectory_sha256
300000,0,random,32,0,0,1,1,-0.3200000000000001,-0.1608,3,dddb964c336d6f77a394040ab2fb0fb485110d906572af526163c206909fd37d
300000,1,random,32,0,0,1,1,-0.3200000000000001,-0.13079999999999997,10,ee39cd1db7688dc7c6bd14231f3bff242adb6bcb7b71ae9754fac981be14e97f
300000,2,random,32,0,0,1,1,-0.3200000000000001,-0.12239999999999983,12,8657a11395c6ab9cd634778b8a328eb1ca91746bf7a0428d2198349b64bf6832
300000,3,random,17,1,1,0,1,0.83,0.9592,5,c0c31254856b806634faf82707824b525ffb6281703f2c1bddf657f13a98682f
300000,4,random,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,5,random,8,1,1,0,1,0.9199999999999999,1.0252000000000001,2,ec7e75c81e070fca034ab8802551aca70398528edb15b2976c1ce324e3c6380e
300000,6,random,4,1,1,0,1,0.96,1.0472000000000001,0,c3ee19d3c6fa9a382670ea379433d2e83d0a61910f9e6eff447c70d51edba8e0
300000,7,random,13,1,1,0,1,0.87,0.9848,3,6ad10ea7e912e92f107806ff070a01f8e45a216792440b3b90a0bae814599b6c
300000,8,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,9,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,10,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,11,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,12,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,13,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,14,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300000,15,guided,2,1,1,0,1,0.98,1.0612,0,195f034d9f096847b851ddf9738d8af9e06c19982bb076a53d5958e257f821ab
300001,0,random,32,0,0,1,1,-0.3200000000000001,-0.08439999999999996,14,2d357753972909eae98783f02858cd94c5e7f027419d9bf05e77fde45ff1eb88
300001,1,random,32,0,0,1,1,-0.3200000000000001,-0.04959999999999985,15,4d335657f6b1f238f69b2198b81fd36c2ca4466e5e68caea96a60ed053df5f7d
300001,2,random,32,0,0,1,1,-0.3200000000000001,-0.014799999999999869,12,b8cc27ef01cd52afb7e2ac05c10a397c1d0854f462a70209dc9887fc6834af69
300001,3,random,16,1,1,0,1,0.84,1.0444,2,0f8df80692b878951de99b5c15d4a9492ad76dcc77cce8a90e10e544d9a61590
300001,4,random,32,0,0,1,1,-0.3200000000000001,-0.019599999999999868,12,a7650cbd3611251985c8fbf8ccd7654260f2422617694ae0ed29630f32e14c7d
300001,5,random,32,0,0,1,1,-0.3200000000000001,0.004400000000000209,15,db4e361656c2f82e858755334beec552d73f68a5f316fb5e4df8cd14ca9dd7d8
300001,6,random,8,1,1,0,1,0.9199999999999999,1.1028,2,e5e1aa81db5f5bbee459cebad59c9499bcd6033de8b240be1d655f063923eb76
300001,7,random,32,0,0,1,1,-0.3200000000000001,-0.053199999999999886,9,eab99bba514c4e254fb7d6478584532962a1dae4907080da75e5a4d54d6afc6a
300001,8,guided,4,1,1,0,1,0.96,1.1272,0,d6e4a25d42655d19ff3f7d235a59fa49e3d7c69bf28ce6347d22d82cf63b2b1e
300001,9,guided,4,1,1,0,1,0.96,1.1272,0,d6e4a25d42655d19ff3f7d235a59fa49e3d7c69bf28ce6347d22d82cf63b2b1e
