map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining,policy,q0,q1,q2,q3
300000,2,17,495,3,0.03360000000000002,526,0,0,16,random,,,,
300000,2,18,526,0,0.03239999999999999,365,0,0,15,random,,,,
300000,2,19,365,1,-0.04639999999999999,524,0,0,14,random,,,,
300000,2,20,524,0,0.03239999999999999,363,0,0,13,random,,,,
300000,2,21,363,1,-0.04639999999999999,522,0,0,12,random,,,,
300000,2,22,522,2,-0.04520000000000001,489,0,0,11,random,,,,
300000,2,23,489,1,-0.005199999999999995,488,0,0,10,random,,,,
300000,2,24,488,3,0.03360000000000002,519,0,0,9,random,,,,
300000,2,25,519,1,-0.006399999999999997,518,0,0,8,random,,,,
300000,2,26,518,3,0.03239999999999999,549,0,0,7,random,,,,
300000,2,27,549,2,-0.04639999999999999,516,0,0,6,random,,,,
300000,2,28,516,0,0.03239999999999999,355,0,0,5,random,,,,
300000,2,29,355,1,-0.04639999999999999,514,0,0,4,random,,,,
300000,2,30,514,2,-0.04520000000000001,481,0,0,3,random,,,,
300000,2,31,481,3,0.03360000000000002,512,0,0,2,random,,,,
300000,2,32,512,2,0.11,-1,0,1,1,random,,,,
300000,3,1,447,3,-0.04639999999999999,478,0,0,32,random,,,,
300000,3,2,478,3,-0.006399999999999997,477,0,0,31,random,,,,
300000,3,3,477,0,-0.006399999999999997,476,0,0,30,random,,,,
300000,3,4,476,0,-0.006399999999999997,475,0,0,29,random,,,,
300000,3,5,475,1,-0.04520000000000001,634,0,0,28,random,,,,
300000,3,6,634,0,0.03360000000000002,473,0,0,27,random,,,,
300000,3,7,473,3,-0.006399999999999997,472,0,0,26,random,,,,
300000,3,8,472,2,0.03239999999999999,439,0,0,25,random,,,,
300000,3,9,439,0,0.031200000000000006,342,0,0,24,random,,,,
300000,3,10,342,0,-0.0476,213,0,0,23,random,,,,
300000,3,11,213,3,-0.04639999999999999,244,0,0,22,random,,,,
300000,3,12,244,0,-0.04520000000000001,115,0,0,21,random,,,,
300000,3,13,115,2,0.03360000000000002,82,0,0,20,random,,,,
300000,3,14,82,1,0.03239999999999999,209,0,0,19,random,,,,
300000,3,15,209,2,0.031200000000000006,176,0,0,18,random,,,,
300000,3,16,176,2,-0.008799999999999999,175,0,0,17,random,,,,
300000,3,17,175,1,1.03,-1,1,0,16,random,,,,
300000,4,1,447,0,0.031200000000000006,350,0,0,32,random,,,,
