map_seed,repetition,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps
300005,2,32,0,0,1,1,-0.3200000000000001,-0.12959999999999994,11
300005,3,27,1,1,0,1,0.73,0.9408000000000002,5
300005,4,8,1,1,0,1,0.9199999999999999,1.0156,4
300005,5,32,0,0,1,1,-0.3200000000000001,-0.13920000000000002,13
300005,6,32,0,0,1,1,-0.3200000000000001,-0.10079999999999982,13
300005,7,3,1,1,0,1,0.97,1.0524,1
300005,8,7,1,1,0,1,0.9299999999999999,1.0268,1
300005,9,21,1,1,0,1,0.7899999999999999,0.912,7
300005,10,5,1,1,0,1,0.95,1.036,1
300005,11,4,1,1,0,1,0.96,1.0436,2
300005,12,32,0,0,1,1,-0.3200000000000001,-0.09959999999999997,7
300005,13,3,1,1,0,1,0.97,1.0524,1
300005,14,32,0,0,1,1,-0.3200000000000001,-0.1031999999999999,4
300005,15,32,0,0,1,1,-0.3200000000000001,-0.047999999999999654,16
300006,0,28,1,1,0,1,0.72,1.062,10
300006,1,32,0,0,1,1,-0.3200000000000001,0.09520000000000015,11
300006,2,32,0,0,1,1,-0.3200000000000001,0.0652000000000001,11
300006,3,28,1,1,0,1,0.72,1.0464,4
300006,4,32,0,0,1,1,-0.3200000000000001,0.050800000000000095,13
300006,5,32,0,0,1,1,-0.3200000000000001,0.08680000000000013,16
300006,6,32,0,0,1,1,-0.3200000000000001,0.022000000000000075,16
300006,7,32,0,0,1,1,-0.3200000000000001,0.10360000000000015,15
300006,8,32,0,0,1,1,-0.3200000000000001,0.05080000000000009,12
300006,9,20,1,1,0,1,0.7999999999999999,1.1288,8
300006,10,32,0,0,1,1,-0.3200000000000001,0.10000000000000014,13
300006,11,25,1,1,0,1,0.7499999999999999,1.104,13
300006,12,32,0,0,1,1,-0.3200000000000001,0.06640000000000013,16
300006,13,32,0,0,1,1,-0.3200000000000001,0.08560000000000012,14
300006,14,32,0,0,1,1,-0.3200000000000001,0.09760000000000013,16
300006,15,32,0,0,1,1,-0.3200000000000001,0.024400000000000074,10
300007,0,15,1,1,0,1,0.85,0.9528000000000001,7
300007,1,27,1,1,0,1,0.73,0.8796,3
300007,2,32,0,0,1,1,-0.3200000000000001,-0.11279999999999979,15
300007,3,2,1,1,0,1,0.98,1.0612,0
300007,4,4,1,1,0,1,0.96,1.0448,0
300007,5,32,0,0,1,1,-0.3200000000000001,-0.12719999999999992,9
300007,6,11,1,1,0,1,0.89,0.9868,3
300007,7,14,1,1,0,1,0.86,1.0036,2
300007,8,3,1,1,0,1,0.97,1.0536,1
300007,9,3,1,1,0,1,0.97,1.0536,1
300007,10,29,1,1,0,1,0.71,0.8944000000000002,13
300007,11,6,1,1,0,1,0.94,1.0308,0
300007,12,2,1,1,0,1,0.98,1.0612,0
300007,13,17,1,1,0,1,0.83,0.9496,3
300007,14,27,1,1,0,1,0.73,0.9096000000000001,3
300007,15,3,1,1,0,1,0.97,1.0524,1
300008,0,32,0,0,1,1,-0.3200000000000001,0.014000000000000165,11
300008,1,24,1,1,0,1,0.7599999999999999,1.004,6
300008,2,32,0,0,1,1,-0.3200000000000001,0.01400000000000011,14
300008,3,32,0,0,1,1,-0.3200000000000001,-0.018399999999999847,5
300008,4,10,1,1,0,1,0.9,1.0972,4
300008,5,32,0,0,1,1,-0.3200000000000001,0.03200000000000017,16
300008,6,32,0,0,1,1,-0.3200000000000001,-0.042399999999999924,7
300008,7,32,0,0,1,1,-0.3200000000000001,-0.026799999999999907,3
300008,8,15,1,1,0,1,0.85,1.064,1
300008,9,22,1,1,0,1,0.7799999999999999,1.0036,8
300008,10,32,0,0,1,1,-0.3200000000000001,-0.025599999999999845,8
300008,11,30,1,1,0,1,0.7,0.9560000000000001,4
300008,12,24,1,1,0,1,0.7599999999999999,1.0352000000000001,8
300008,13,32,0,0,1,1,-0.3200000000000001,-0.01719999999999991,13
300008,14,32,0,0,1,1,-0.3200000000000001,-0.0255999999999999,14
300008,15,8,1,1,0,1,0.9199999999999999,1.11,2
300009,0,32,0,0,1,1,-0.3200000000000001,-0.05519999999999979,10
300009,1,3,1,1,0,1,0.97,1.0536,1
300009,2,21,1,1,0,1,0.7899999999999999,0.918,7
300009,3,6,1,1,0,1,0.94,1.0332000000000001,2
300009,4,15,1,1,0,1,0.85,0.9648000000000001,3
300009,5,32,0,0,1,1,-0.3200000000000001,-0.11519999999999991,6
