condition,seed,checkpoint,updates_in_window,mean_loss,last_loss,training_examples
exact_q,0,100,100,0.08637971073389053,0.03275514021515846,6400
exact_q,0,200,100,0.027448652274906636,0.016025854274630547,12800
exact_q,0,300,100,0.027082616658881307,0.03177974373102188,19200
exact_q,0,400,100,0.024745210064575075,0.01127373892813921,25600
exact_q,0,500,100,0.025195157388225198,0.024968594312667847,32000
exact_q,0,600,100,0.02139337984845042,0.01828441396355629,38400
exact_q,0,700,100,0.020136350449174643,0.019837867468595505,44800
exact_q,0,800,100,0.015031494181603194,0.01642834022641182,51200
exact_q,0,900,100,0.013588838789146393,0.018438076600432396,57600
exact_q,0,1000,100,0.012261723200790584,0.009011449292302132,64000
exact_q,0,1100,100,0.0116787235904485,0.012347834184765816,70400
exact_q,0,1200,100,0.01138461454771459,0.0074339453130960464,76800
exact_q,0,1300,100,0.009823247259482741,0.011548939161002636,83200
exact_q,0,1400,100,0.011939768998418003,0.014104127883911133,89600
exact_q,0,1500,100,0.01098937911912799,0.015614097937941551,96000
exact_q,0,1600,100,0.011226229118183256,0.005147023592144251,102400
exact_q,0,1700,100,0.010834871367551386,0.008199726231396198,108800
exact_q,0,1800,100,0.01018427562667057,0.008783988654613495,115200
exact_q,0,1900,100,0.010119669015984982,0.00872556772083044,121600
exact_q,0,2000,100,0.010163223396521062,0.006184904370456934,128000
exact_q,0,2100,100,0.010023376583121716,0.008729259483516216,134400
exact_q,0,2200,100,0.010027611574623735,0.007697766646742821,140800
exact_q,0,2300,100,0.009307969468645752,0.007790337782353163,147200
exact_q,0,2400,100,0.00933850342174992,0.008606666699051857,153600
exact_q,0,2500,100,0.008712655138224364,0.005758888088166714,160000
exact_q,0,2600,100,0.008759214584715664,0.006810369435697794,166400
exact_q,0,2700,100,0.00924923198763281,0.005877556279301643,172800
exact_q,0,2800,100,0.0082961759949103,0.00588101614266634,179200
exact_q,0,2900,100,0.007778571357484907,0.011099743656814098,185600
exact_q,0,3000,100,0.008392735572997481,0.01037572417408228,192000
exact_q,0,3100,100,0.007998996856622398,0.001644242787733674,198400
exact_q,0,3200,100,0.007919587374199183,0.013114886358380318,204800
exact_q,0,3300,100,0.008220734829083086,0.0041501191444695,211200
exact_q,0,3400,100,0.007815071537625045,0.013019932433962822,217600
exact_q,0,3500,100,0.008297853898257017,0.004139591474086046,224000
exact_q,0,3600,100,0.007712416124995798,0.0030758087523281574,230400
exact_q,0,3700,100,0.007987399810226635,0.013702800497412682,236800
exact_q,0,3800,100,0.006918437589192763,0.006152167916297913,243200
exact_q,0,3900,100,0.0074542384408414365,0.014107787050306797,249600
exact_q,0,4000,100,0.007049907981418073,0.005833513103425503,256000
exact_q,0,4100,100,0.0071177591138985,0.00931136030703783,262400
exact_q,0,4200,100,0.007065753032220528,0.005384530872106552,268800
exact_q,0,4300,100,0.0076206193375401195,0.0020363004878163338,275200
exact_q,0,4400,100,0.007873014711076393,0.00794519204646349,281600
exact_q,0,4500,100,0.006915271277539432,0.0023490367457270622,288000
exact_q,0,4600,100,0.0070782925840467215,0.011065362021327019,294400
exact_q,0,4700,100,0.0075281123945023865,0.008893814869225025,300800
exact_q,0,4800,100,0.006178715566638857,0.004720729775726795,307200
exact_q,0,4900,100,0.006602026675827801,0.007394035346806049,313600
exact_q,0,5000,100,0.006748109770123847,0.005996613763272762,320000
exact_q,0,5100,100,0.006455450062640011,0.004053960088640451,326400
exact_q,0,5200,100,0.006737921041203663,0.009364587254822254,332800
exact_q,0,5300,100,0.0066649899468757216,0.005345762707293034,339200
exact_q,0,5400,100,0.006156738839345053,0.00441747484728694,345600
exact_q,0,5500,100,0.006688084269408137,0.007973318919539452,352000
exact_q,0,5600,100,0.006435147275915369,0.005230056121945381,358400
exact_q,0,5700,100,0.006022801677463576,0.005459594074636698,364800
exact_q,0,5800,100,0.006444840559270233,0.004741954151540995,371200
exact_q,0,5900,100,0.006376375623513013,0.004871427547186613,377600
exact_q,0,6000,100,0.006490408105310053,0.008579110726714134,384000
exact_q,0,6100,100,0.006055775266140699,0.007711617276072502,390400
exact_q,0,6200,100,0.006152144208317623,0.006069661118090153,396800
exact_q,0,6300,100,0.006062730279518291,0.006554788909852505,403200
exact_q,0,6400,100,0.005837427448714152,0.004984982777386904,409600
exact_q,0,6500,100,0.006466759457834996,0.007298549171537161,416000
exact_q,0,6600,100,0.006265419649425894,0.007379613816738129,422400
exact_q,0,6700,100,0.005918984503950924,0.0056688217446208,428800
exact_q,0,6800,100,0.005595364643377252,0.004591315984725952,435200
exact_q,0,6900,100,0.005855979268671945,0.00499258516356349,441600
