seed,map_seed,tick,position_row,position_col,action,winnable_before,action_preserves_solvability,avoidable_deadline_loss,optimal_action,optimal_q_regret,q_absolute_error_mean,q_signed_error_mean,learned_top_two_margin,learned_selected_advantage_over_best_optimal,blocked,position_revisit,base_reward,shaped_reward,terminated,truncated,learned_q_0,learned_q_1,learned_q_2,learned_q_3,optimal_q_0,optimal_q_1,optimal_q_2,optimal_q_3
0,910000,1,0,4,1,True,True,False,True,0.0,0.16646174415576923,-0.16646174415576923,0.007583141326904297,0.0,False,False,-0.01,0.031200000000000006,False,False,0.8092209696769714,0.8385477066040039,0.8309645652770996,0.8237390518188477,0.9917909999999999,1.0303,0.9544372699999998,0.9917909999999999
0,910000,2,1,4,1,True,True,False,True,0.0,0.36056290376949307,-0.36056290376949307,0.01069861650466919,0.0,False,False,0.99,1.03,True,False,0.5962489247322083,0.6394500136375427,0.6171800494194031,0.6287513971328735,0.9517909999999999,1.03,0.9517909999999999,0.9903
0,910001,1,4,4,0,True,True,False,True,0.0,0.8483501521882569,-0.8483501521882569,0.007194399833679199,0.0,False,False,-0.01,0.0348,False,False,0.19345623254776,0.1407862901687622,0.1862618327140808,0.16861939430236816,1.0382041518999998,1.0030580273429996,1.0382041518999998,1.0030580273429996
0,910001,2,3,4,2,True,True,False,True,0.0,0.8371468633155696,-0.8371468633155696,0.03072059154510498,0.0,False,False,-0.01,0.03360000000000002,False,False,0.17217352986335754,0.15407823026180267,0.20289412140846252,0.15240338444709778,1.0344372699999997,0.9630580273429997,1.0344372699999997,0.9982041518999998
0,910001,3,3,3,0,True,True,False,True,0.0,0.7245978564733,-0.7245978564733,0.010023236274719238,0.0,False,False,-0.01,0.03239999999999999,False,False,0.3012605309486389,0.22130846977233887,0.2912372946739197,0.26779258251190186,1.031791,0.9582041518999997,1.031791,0.9582041518999997
0,910001,4,2,3,3,True,True,False,False,0.07586273000000021,0.5475449750435446,-0.5475449750435446,0.0017477869987487793,0.0017477869987487793,False,False,-0.01,-0.04639999999999999,False,False,0.46945834159851074,0.37419915199279785,0.4644310176372528,0.4712061285972595,1.0303,0.9544372699999998,1.0303,0.9544372699999998
0,910001,5,2,4,2,True,True,False,True,0.0,0.7278206699114356,-0.7278206699114356,0.03153306245803833,0.0,False,False,-0.01,0.03239999999999999,False,False,0.2799655795097351,0.2623293697834015,0.31149864196777344,0.25114715099334717,1.031791,0.9582041518999997,1.031791,0.9944372699999998
0,910001,6,2,3,0,True,True,False,True,0.0,0.5627216289055441,-0.5627216289055441,6.67572021484375e-05,0.0,False,True,-0.01,0.031200000000000006,False,False,0.4543020725250244,0.3624333143234253,0.4476173222064972,0.454235315322876,1.0303,0.9544372699999998,1.0303,0.9544372699999998
0,910001,7,1,3,3,True,True,False,False,0.07820900000000008,0.5302971880512237,-0.5302971880512237,0.010325074195861816,0.010325074195861816,False,False,-0.01,-0.0476,False,False,0.44548875093460083,0.42097002267837524,0.46295469999313354,0.47327977418899536,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,8,1,4,2,True,True,False,True,0.0,0.6646191917827223,-0.6646191917827223,0.03682100772857666,0.0,False,False,-0.01,0.031200000000000006,False,False,0.3129952549934387,0.30935701727867126,0.3498162627220154,0.30032023787498474,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,9,1,3,3,True,True,False,False,0.07820900000000008,0.5568103100733757,-0.5568103100733757,0.011642277240753174,0.011642277240753174,False,True,-0.01,-0.0476,False,False,0.41881173849105835,0.39662328362464905,0.4347817301750183,0.4464240074157715,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,10,1,4,2,True,True,False,True,0.0,0.6844632469585037,-0.6844632469585037,0.03068530559539795,0.0,False,True,-0.01,0.031200000000000006,False,False,0.29493772983551025,0.28894925117492676,0.3256230354309082,0.2836025357246399,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,11,1,3,3,True,True,False,False,0.07820900000000008,0.5832043345646858,-0.5832043345646858,0.01300552487373352,0.01300552487373352,False,True,-0.01,-0.0476,False,False,0.3923777937889099,0.37219494581222534,0.40674319863319397,0.4197487235069275,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,12,1,4,2,True,True,False,True,0.0,0.708566545741806,-0.708566545741806,0.024753957986831665,0.0,False,True,-0.01,0.031200000000000006,False,False,0.27234888076782227,0.2645629048347473,0.29710283875465393,0.26268473267555237,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,13,1,3,3,True,True,False,False,0.07820900000000008,0.5986443739013672,-0.5986443739013672,0.013123184442520142,0.013123184442520142,False,True,-0.01,-0.0476,False,False,0.37637120485305786,0.3602038323879242,0.3898031413555145,0.40292632579803467,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,14,1,4,2,True,True,False,True,0.0,0.7294574112167453,-0.7294574112167453,0.01985916495323181,0.0,False,True,-0.01,0.031200000000000006,False,False,0.25253334641456604,0.2439662516117096,0.27239251136779785,0.244243785738945,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,15,1,3,3,True,True,False,False,0.07820900000000008,0.6134436335043907,-0.6134436335043907,0.013166248798370361,0.013166248798370361,False,True,-0.01,-0.0476,False,False,0.36097294092178345,0.3489445745944977,0.3735118508338928,0.3866780996322632,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,16,1,4,2,True,True,False,True,0.0,0.7458009340336418,-0.7458009340336418,0.015874892473220825,0.0,False,True,-0.01,0.031200000000000006,False,False,0.23690810799598694,0.22826367616653442,0.25278300046920776,0.2298070192337036,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,17,1,3,3,True,True,False,False,0.07820900000000008,0.6282427440958023,-0.6282427440958023,0.013209223747253418,0.013209223747253418,False,True,-0.01,-0.0476,False,False,0.34557491540908813,0.3376854658126831,0.35722070932388306,0.3704299330711365,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,18,1,4,2,True,True,False,True,0.0,0.7621445797851181,-0.7621445797851181,0.011890590190887451,0.0,False,True,-0.01,0.031200000000000006,False,False,0.2212827503681183,0.2125609964132309,0.23317334055900574,0.21537013351917267,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,19,1,3,3,True,True,False,False,0.07820900000000008,0.6430419142918586,-0.6430419142918586,0.01325225830078125,0.01325225830078125,False,True,-0.01,-0.0476,False,False,0.33017677068710327,0.32642629742622375,0.3409295082092285,0.35418176651000977,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,20,1,4,2,True,True,False,True,0.0,0.7790731259157753,-0.7790731259157753,0.00772780179977417,0.0,False,True,-0.01,0.031200000000000006,False,False,0.20521751046180725,0.1960654854774475,0.21294531226158142,0.20044472813606262,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,21,1,3,3,True,True,False,False,0.07820900000000008,0.657841121740818,-0.657841121740818,0.013295233249664307,0.013295233249664307,False,True,-0.01,-0.0476,False,False,0.3147786259651184,0.315167099237442,0.3246382772922516,0.3379335105419159,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,22,1,4,2,True,True,False,True,0.0,0.7942381941249466,-0.7942381941249466,0.003805384039878845,0.0,False,True,-0.01,0.031200000000000006,False,False,0.19075943529605865,0.18153521418571472,0.1945648193359375,0.18715329468250275,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,23,1,3,3,True,True,False,False,0.07820900000000008,0.6654734667019844,-0.6654734667019844,0.018364667892456055,0.018364667892456055,False,True,-0.01,-0.0476,False,False,0.3081700801849365,0.30785295367240906,0.31380021572113037,0.3321648836135864,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,24,1,4,2,True,True,False,True,0.0,0.8078332312872505,-0.8078332312872505,0.00026194751262664795,0.0,False,True,-0.01,0.031200000000000006,False,False,0.17758062481880188,0.16897211968898773,0.17784257233142853,0.17523729801177979,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,25,1,3,3,True,True,False,False,0.07820900000000008,0.6863785069065094,-0.6863785069065094,0.024466991424560547,0.024466991424560547,False,True,-0.01,-0.0476,False,False,0.28798961639404297,0.28753721714019775,0.28918707370758057,0.3136540651321411,0.9903,0.9517909999999999,1.03,0.9517909999999999
0,910001,26,1,4,0,True,True,False,False,0.07586273000000021,0.8222221389880275,-0.8222221389880275,0.001017063856124878,0.0033366233110427856,False,True,-0.01,-0.04639999999999999,False,False,0.16363894939422607,0.15551382303237915,0.1603023260831833,0.1626218855381012,0.9544372699999998,0.9544372699999998,1.0303,0.9917909999999999
0,910001,27,0,4,3,True,True,False,False,0.037353730000000085,0.8758932274665974,-0.8758932274665974,0.020431995391845703,0.020431995391845703,True,False,-0.01,-0.006399999999999997,False,False,0.1184738427400589,0.12918344140052795,0.11425717920064926,0.14961543679237366,0.9944372699999998,1.031791,0.9944372699999998,0.9944372699999998
0,910001,28,0,4,3,True,True,False,False,0.037353730000000085,0.8847119060244701,-0.8847119060244701,0.021081112325191498,0.021081112325191498,True,True,-0.01,-0.006399999999999997,False,False,0.11001577973365784,0.12063074856996536,0.10389679670333862,0.14171186089515686,0.9944372699999998,1.031791,0.9944372699999998,0.9944372699999998
0,910001,29,0,4,3,True,True,False,False,0.037353730000000085,0.8939074368115805,-0.8939074368115805,0.021904826164245605,0.021904826164245605,True,True,-0.01,-0.006399999999999997,False,False,0.10124753415584564,0.11165547370910645,0.09300975501537323,0.13356029987335205,0.9944372699999998,1.031791,0.9944372699999998,0.9944372699999998
0,910001,30,0,4,3,True,False,True,False,0.9408999999999998,0.24349629930257793,-0.22544333029127123,0.02272859960794449,0.02272859960794449,True,True,-0.01,-0.006399999999999997,False,False,0.09247922897338867,0.10268010944128036,0.08212263137102127,0.12540870904922485,0.09089100000000003,1.031791,0.09089100000000003,0.09089100000000003
0,910001,31,0,4,3,False,False,False,True,0.0,0.01665885418057443,-0.007502761620283155,0.023661114275455475,0.0,True,True,-0.01,-0.006399999999999997,False,False,0.08516325056552887,0.0949510708451271,0.07246244698762894,0.11861218512058258,0.10030000000000003,0.10030000000000003,0.10030000000000003,0.10030000000000003
0,910001,32,0,4,3,False,False,False,True,0.0,0.025844229683280005,-0.024786892011761694,0.024617671966552734,0.0,True,True,-0.01,0.11,False,True,0.07816771417856216,0.08749700337648392,0.0630730390548706,0.11211467534303665,0.11000000000000003,0.11000000000000003,0.11000000000000003,0.11000000000000003
0,910002,1,1,2,2,True,True,False,False,0.038509000000000126,0.7161196537783239,-0.7161196537783239,0.028561919927597046,0.028561919927597046,True,False,-0.01,-0.007599999999999997,False,False,0.2580547034740448,0.2692367136478424,0.29779863357543945,0.24139687418937683,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,2,1,2,2,True,True,False,False,0.038509000000000126,0.7054981731345746,-0.7054981731345746,0.029510676860809326,0.029510676860809326,True,True,-0.01,-0.007599999999999997,False,False,0.268047571182251,0.28028327226638794,0.30979394912719727,0.25084805488586426,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,3,1,2,2,True,True,False,False,0.038509000000000126,0.694876774447212,-0.694876774447212,0.03045940399169922,0.03045940399169922,True,True,-0.01,-0.007599999999999997,False,False,0.27804040908813477,0.2913297414779663,0.3217891454696655,0.2602991461753845,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,4,1,2,2,True,True,False,False,0.038509000000000126,0.6842553534081075,-0.6842553534081075,0.0314081609249115,0.0314081609249115,True,True,-0.01,-0.007599999999999997,False,False,0.28803324699401855,0.30237624049186707,0.33378440141677856,0.2697502374649048,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,5,1,2,2,True,True,False,False,0.038509000000000126,0.67124141682888,-0.67124141682888,0.03270655870437622,0.03270655870437622,True,True,-0.01,-0.007599999999999997,False,False,0.3008039593696594,0.315799355506897,0.3485059142112732,0.28089064359664917,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,6,1,2,2,True,True,False,False,0.038509000000000126,0.6570945077111815,-0.6570945077111815,0.03400146961212158,0.03400146961212158,True,True,-0.01,-0.007599999999999997,False,False,0.3145869970321655,0.3304861783981323,0.3644876480102539,0.2930266857147217,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,7,1,2,2,True,True,False,False,0.038509000000000126,0.6429475985934828,-0.6429475985934828,0.03529632091522217,0.03529632091522217,True,True,-0.01,-0.007599999999999997,False,False,0.32837003469467163,0.3451730012893677,0.38046932220458984,0.30516278743743896,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,8,1,2,2,True,True,False,False,0.038509000000000126,0.6288007192781065,-0.6288007192781065,0.036591172218322754,0.036591172218322754,True,True,-0.01,-0.007599999999999997,False,False,0.34215301275253296,0.359859824180603,0.3964509963989258,0.3172988295555115,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,9,1,2,2,True,True,False,False,0.038509000000000126,0.6146538101604079,-0.6146538101604079,0.03788605332374573,0.03788605332374573,True,True,-0.01,-0.007599999999999997,False,False,0.35593605041503906,0.3745466470718384,0.4124327003955841,0.32943490147590637,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,10,1,2,2,True,True,False,False,0.038509000000000126,0.6005069457461928,-0.6005069457461928,0.039180904626846313,0.039180904626846313,True,True,-0.01,-0.007599999999999997,False,False,0.3697190284729004,0.38923344016075134,0.42841434478759766,0.3415709435939789,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,11,1,2,2,True,True,False,False,0.038509000000000126,0.5862999625971411,-0.5862999625971411,0.04047664999961853,0.04047664999961853,True,True,-0.01,-0.007599999999999997,False,False,0.38356131315231323,0.403982013463974,0.44445866346359253,0.3537636995315552,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,12,1,2,2,True,True,False,False,0.038509000000000126,0.5749663852622603,-0.5749663852622603,0.04171648621559143,0.04171648621559143,True,True,-0.01,-0.007599999999999997,False,False,0.394914835691452,0.4155174493789673,0.4572339355945587,0.3634337782859802,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
0,910002,13,1,2,2,True,True,False,False,0.038509000000000126,0.5661403902342413,-0.5661403902342413,0.042542964220047,0.042542964220047,True,True,-0.01,-0.007599999999999997,False,False,0.40371280908584595,0.42447900772094727,0.46702197194099426,0.3711901903152466,0.9544372699999998,1.0303,0.9917909999999999,0.9544372699999998
