bank_id,condition,seed,checkpoint,updates_in_window,mean_loss,last_loss,training_examples
1,map_balanced,0,100,100,0.01574304699432105,0.005198055878281593,6400
1,map_balanced,0,200,100,0.011503310687839986,0.020916614681482315,12800
1,map_balanced,0,300,100,0.009828483145684004,0.006456127390265465,19200
1,map_balanced,0,400,100,0.008640767177566885,0.006528765894472599,25600
1,map_balanced,0,500,100,0.0067547151725739244,0.011709025129675865,32000
1,map_balanced,0,600,100,0.005582697298377752,0.007874077185988426,38400
1,map_balanced,0,700,100,0.004414211264811456,0.0030290083959698677,44800
1,map_balanced,0,800,100,0.004427166457753628,0.003583199344575405,51200
1,map_balanced,0,900,100,0.004283860912546515,0.004329647868871689,57600
1,map_balanced,0,1000,100,0.0044589480245485905,0.0042755319736897945,64000
1,map_balanced,0,1100,100,0.004758607693947852,0.003858433570712805,70400
1,map_balanced,0,1200,100,0.0049059207178652284,0.005083915777504444,76800
1,map_balanced,0,1300,100,0.005090838000178337,0.005618818569928408,83200
1,map_balanced,0,1400,100,0.005408527702093125,0.008336750790476799,89600
1,map_balanced,0,1500,100,0.004897190330084413,0.009954558685421944,96000
1,map_balanced,0,1600,100,0.005010413572890684,0.0032683368772268295,102400
1,map_balanced,0,1700,100,0.004585588006302714,0.0036298329941928387,108800
1,map_balanced,0,1800,100,0.004415167570114136,0.004219649359583855,115200
1,map_balanced,0,1900,100,0.0037350650934968145,0.006334826350212097,121600
1,map_balanced,0,2000,100,0.003683270177571103,0.005242526531219482,128000
1,map_balanced,0,2100,100,0.0033982280420605093,0.0016731568612158298,134400
1,map_balanced,0,2200,100,0.0031676712282933295,0.004321650136262178,140800
1,map_balanced,0,2300,100,0.003070725941797718,0.0021089387591928244,147200
1,map_balanced,0,2400,100,0.0026017954049166294,0.0024647247046232224,153600
1,map_balanced,0,2500,100,0.002197998966439627,0.0020681158639490604,160000
1,map_balanced,0,2600,100,0.0018201596749713644,0.001183914951980114,166400
1,map_balanced,0,2700,100,0.0017202129471115767,0.001531824003905058,172800
1,map_balanced,0,2800,100,0.0016348455275874585,0.0015918954741209745,179200
1,map_balanced,0,2900,100,0.0017235992942005395,0.0013830848038196564,185600
1,map_balanced,0,3000,100,0.0015398546156939119,0.0012596197193488479,192000
1,map_balanced,0,3100,100,0.001522608228842728,0.0010035037994384766,198400
1,map_balanced,0,3200,100,0.0015573783474974335,0.0014226590283215046,204800
1,map_balanced,0,3300,100,0.0015193007985362782,0.0012918557040393353,211200
1,map_balanced,0,3400,100,0.0016434000030858442,0.002080893376842141,217600
1,map_balanced,0,3500,100,0.0015072405606042594,0.0020453704055398703,224000
1,map_balanced,0,3600,100,0.0015448360959999263,0.0020592238288372755,230400
1,map_balanced,0,3700,100,0.0015663703891914337,0.0010660793632268906,236800
1,map_balanced,0,3800,100,0.001550669785356149,0.0010612922487780452,243200
1,map_balanced,0,3900,100,0.0016035442519932986,0.002929041627794504,249600
1,map_balanced,0,4000,100,0.0016727595776319503,0.002054644748568535,256000
1,map_balanced,0,4100,100,0.0016129082470433787,0.00247261393815279,262400
1,map_balanced,0,4200,100,0.0015796845912700518,0.0014852848835289478,268800
1,map_balanced,0,4300,100,0.001597819123417139,0.002222277456894517,275200
1,map_balanced,0,4400,100,0.0016077029122970998,0.0007672150386497378,281600
1,map_balanced,0,4500,100,0.001633237619535066,0.0014230086235329509,288000
1,map_balanced,0,4600,100,0.0015837860078318044,0.0010655894875526428,294400
1,map_balanced,0,4700,100,0.001613132475176826,0.0012790742330253124,300800
1,map_balanced,0,4800,100,0.0014494600251782686,0.0008743141079321504,307200
1,map_balanced,0,4900,100,0.001552880359813571,0.0010761014418676496,313600
1,map_balanced,0,5000,100,0.0015383591793943197,0.0016807853244245052,320000
1,map_balanced,0,5100,100,0.0015981469303369522,0.0009602592908777297,326400
1,map_balanced,0,5200,100,0.0015628338122041896,0.0010691077914088964,332800
1,map_balanced,0,5300,100,0.00161339164536912,0.0032939540687948465,339200
1,map_balanced,0,5400,100,0.001454762046923861,0.0025956195313483477,345600
1,map_balanced,0,5500,100,0.0016608325601555408,0.0009421422146260738,352000
1,map_balanced,0,5600,100,0.0015369885589461773,0.002322848653420806,358400
1,map_balanced,0,5700,100,0.0016347782337106764,0.0019056936725974083,364800
1,map_balanced,0,5800,100,0.0015107765543507412,0.00281644519418478,371200
1,map_balanced,0,5900,100,0.0015227800054708495,0.0014706969959661365,377600
1,map_balanced,0,6000,100,0.0014595875522354618,0.0010920242639258504,384000
1,map_balanced,0,6100,100,0.0014808909635758028,0.0012096944265067577,390400
1,map_balanced,0,6200,100,0.0014224128349451348,0.0009169771219603717,396800
1,map_balanced,0,6300,100,0.0015359048772370443,0.002441433956846595,403200
1,map_balanced,0,6400,100,0.0014947948337066918,0.0011877685319632292,409600
1,map_balanced,0,6500,100,0.0014337882300605998,0.001277633709833026,416000
1,map_balanced,0,6600,100,0.0013669866294367238,0.0011715285945683718,422400
1,map_balanced,0,6700,100,0.0013961003551958128,0.0011024554260075092,428800
1,map_balanced,0,6800,100,0.0014645830204244703,0.0012724010739475489,435200
1,map_balanced,0,6900,100,0.0015592851804103703,0.0010536274639889598,441600
1,map_balanced,0,7000,100,0.0014432156982365995,0.0012242323718965054,448000
1,map_balanced,0,7100,100,0.0015283164172433317,0.003220808459445834,454400
1,map_balanced,0,7200,100,0.001369176673470065,0.0009285565465688705,460800
1,map_balanced,0,7300,100,0.0015872736467281356,0.0013473831349983811,467200
1,map_balanced,0,7400,100,0.001361331791849807,0.0014834461035206914,473600
1,map_balanced,0,7500,100,0.0015233942744089291,0.0014113257639110088,480000
1,map_balanced,0,7600,100,0.0013827293692156672,0.0008791808504611254,486400
1,map_balanced,0,7700,100,0.0013489347998984157,0.0022532956209033728,492800
1,map_balanced,0,7800,100,0.0012924404622754082,0.0011086249724030495,499200
1,map_balanced,0,7900,100,0.0013684004283277319,0.0010021441848948598,505600
1,map_balanced,0,8000,100,0.0014308102644281463,0.0013887073146179318,512000
1,map_balanced,0,8100,100,0.0013618517230497673,0.0016731476644054055,518400
1,map_balanced,0,8200,100,0.0013263289048336445,0.0007720246794633567,524800
1,map_balanced,0,8300,100,0.001436839157831855,0.0020152172073721886,531200
1,map_balanced,0,8400,100,0.0015031240379903465,0.0014443102991208434,537600
1,map_balanced,0,8500,100,0.0014058773941360413,0.0007996908389031887,544000
1,map_balanced,0,8600,100,0.0013913772365776822,0.0009074051049537957,550400
1,map_balanced,0,8700,100,0.001305076582939364,0.0016652933554723859,556800
1,map_balanced,0,8800,100,0.0013934064179193229,0.0015491254162043333,563200
1,map_balanced,0,8900,100,0.0013791531923925504,0.0012648171978071332,569600
1,map_balanced,0,9000,100,0.0015860331885050982,0.0016570372972637415,576000
1,map_balanced,0,9100,100,0.0014964949811110274,0.0016073929145932198,582400
1,map_balanced,0,9200,100,0.0014065515383845195,0.0008359468192793429,588800
1,map_balanced,0,9300,100,0.001559095968841575,0.0013205809518694878,595200
1,map_balanced,0,9400,100,0.0014448974502738565,0.0014376523904502392,601600
1,map_balanced,0,9500,100,0.0014552911411738023,0.002384380903095007,608000
1,map_balanced,0,9600,100,0.0013501945970347152,0.002220477908849716,614400
1,map_balanced,0,9700,100,0.0013504237413872033,0.0009045657934620976,620800
1,map_balanced,0,9800,100,0.0013578518090071156,0.0014096884988248348,627200
1,map_balanced,0,9900,100,0.0013923477317439393,0.0024334744084626436,633600
1,map_balanced,0,10000,100,0.0014927405962953345,0.0008803048403933644,640000
1,map_balanced,0,10100,100,0.001296762012061663,0.001184312510304153,646400
1,map_balanced,0,10200,100,0.0013641377649037168,0.0013243102002888918,652800
1,map_balanced,0,10300,100,0.0013418304704828187,0.000709196669049561,659200
1,map_balanced,0,10400,100,0.0014334717823658138,0.0014931254554539919,665600
1,map_balanced,0,10500,100,0.001358121928642504,0.0012011427897959948,672000
1,map_balanced,0,10600,100,0.001349387438967824,0.0015048952773213387,678400
1,map_balanced,0,10700,100,0.0013722783693810925,0.0008341546636074781,684800
1,map_balanced,0,10800,100,0.0012869784230133518,0.0010813276749104261,691200
1,map_balanced,0,10900,100,0.0014375913655385376,0.001428429502993822,697600
1,map_balanced,0,11000,100,0.001306067827390507,0.0012086837086826563,704000
1,map_balanced,0,11100,100,0.0013799563673092053,0.0012832641368731856,710400
1,map_balanced,0,11200,100,0.0013541778828948736,0.0010770104127004743,716800
1,map_balanced,0,11300,100,0.001413142292876728,0.0010747339110821486,723200
